"dataset";"id";"nome";"asl";"stato_v7_6";"data_riesame_parziale";"campi_riesaminati";"fonti_riesame";"data_originale";"note"
"rete";"R1-01";"DSM Roma 1 — riferimento organizzativo";"ASL Roma 1";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"R1-02";"CSM Plinio";"ASL Roma 1";"riesame_parziale";"2026-09-21";"telefono | orari";"https://www.aslroma1.it/salute-mentale | https://www.aslroma1.it/presidi-territoriali/centro-di-salute-mentale-plinio";"2026-09-19";"Contatti e orari riscontrati; altre informazioni del record non riesaminate. Eventuali calendari alternati non sono proiettati automaticamente al 2026/27."
"rete";"R1-03";"CSM Palestro";"ASL Roma 1";"riesame_parziale";"2026-09-21";"telefono | orari";"https://www.aslroma1.it/salute-mentale";"2026-09-19";"Contatti e orari riscontrati; altre informazioni del record non riesaminate. Eventuali calendari alternati non sono proiettati automaticamente al 2026/27."
"rete";"R1-04";"CSM Sabrata";"ASL Roma 1";"riesame_parziale";"2026-09-21";"telefono | orari";"https://www.aslroma1.it/salute-mentale";"2026-09-19";"Contatti e orari riscontrati; altre informazioni del record non riesaminate. Eventuali calendari alternati non sono proiettati automaticamente al 2026/27."
"rete";"R1-05";"Presidio Boemondo";"ASL Roma 1";"riesame_parziale";"2026-09-21";"telefono | orari";"https://www.aslroma1.it/salute-mentale";"2026-09-19";"Contatti e orari riscontrati; altre informazioni del record non riesaminate. Eventuali calendari alternati non sono proiettati automaticamente al 2026/27."
"rete";"R1-06";"CSM Monte Tomatico";"ASL Roma 1";"riesame_parziale";"2026-09-21";"telefono | orari";"https://www.aslroma1.it/salute-mentale";"2026-09-19";"Contatti e orari riscontrati; altre informazioni del record non riesaminate. Eventuali calendari alternati non sono proiettati automaticamente al 2026/27."
"rete";"R1-07";"CSM Farulli";"ASL Roma 1";"riesame_parziale";"2026-09-21";"telefono | orari";"https://www.aslroma1.it/salute-mentale";"2026-09-19";"Contatti e orari riscontrati; altre informazioni del record non riesaminate. Eventuali calendari alternati non sono proiettati automaticamente al 2026/27."
"rete";"R1-08";"CSM Boccea";"ASL Roma 1";"riesame_parziale";"2026-09-21";"telefono | orari";"https://www.aslroma1.it/salute-mentale | https://www.aslroma1.it/presidi-territoriali/centro-salute-mentale-boccea";"2026-09-19";"Incongruenza tra due fonti istituzionali. Nessuna apertura del sabato certificata dal progetto."
"rete";"R1-09";"CSM Innocenzo IV";"ASL Roma 1";"riesame_parziale";"2026-09-21";"telefono | orari";"https://www.aslroma1.it/salute-mentale";"2026-09-19";"Contatti e orari riscontrati; altre informazioni del record non riesaminate. Eventuali calendari alternati non sono proiettati automaticamente al 2026/27."
"rete";"R1-10";"CSM Gasparri";"ASL Roma 1";"riesame_parziale";"2026-09-21";"telefono | orari";"https://www.aslroma1.it/salute-mentale";"2026-09-19";"Contatti e orari riscontrati; altre informazioni del record non riesaminate. Eventuali calendari alternati non sono proiettati automaticamente al 2026/27."
