id;nome;ente_titolare;comune_municipio;destinatari;finalita;costo;accesso;telefono;email;indirizzo;orari;fonte;ultima_verifica;stato
ASC-001;CAV Mazzini;Roma Capitale – rete Centri Antiviolenza;Roma, Municipio I;Donne che subiscono o hanno subito violenza;Ascolto, accoglienza, supporto psicologico e legale, orientamento alla rete antiviolenza;Gratuito;Contatto diretto / appuntamento;06 37518261 / 06 37518262;telefonorosa1988@gmail.com;Viale Mazzini 73, Roma;Lun–ven 10–13 e 14–19;https://www.comune.roma.it/web/it/scheda-servizi.page?contentId=INF62923;2026-09-21;"Verificato; confermare appuntamento"
ASC-002;CAV Alessia e Martina Capasso;Roma Capitale – rete Centri Antiviolenza;Roma, Municipio I;Donne che subiscono o hanno subito violenza;Ascolto, accoglienza e orientamento alla rete;Gratuito;Contatto diretto;"06 69617913 / 06 69617873; 331 6493913 H24";cavtrionfale@differenzadonna.it;Circonvallazione Trionfale 19, Roma;"Vedere pagina corrente; reperibilità H24 al mobile indicato";https://www.comune.roma.it/web/it/scheda-servizi.page?contentId=INF62923;2026-09-21;Verificato
ASC-003;CAV Titano;Roma Capitale – rete Centri Antiviolenza;Roma, Municipio III;Donne che subiscono violenza;Ascolto, supporto e orientamento antiviolenza;Gratuito;Contatto diretto / appuntamento;06 69604434;cavtitano@telefonorosa.it;Via Titano 3, Roma;"Lun–ven 10–18; disponibilità H24 secondo la pagina";https://www.comune.roma.it/web/it/scheda-servizi.page?contentId=INF62923;2026-09-21;Verificato
ASC-004;CAV Donatella Colasanti e Rosaria Lopez;Roma Capitale – rete Centri Antiviolenza;Roma, Municipio VII;Donne che subiscono violenza;Ascolto, accoglienza e supporto multidisciplinare;Gratuito;Contatto diretto;"06 23269049 / 06 23269079; 366 9384721";cavcomunale@differenzadonna.it;Via di Torre Spaccata 157, Roma;"Reperibilità H24 al mobile indicato; orario centro da confermare";https://www.comune.roma.it/web/it/scheda-servizi.page?contentId=INF62923;2026-09-21;Verificato
ASC-005;CAV Alda Merini;Roma Capitale – rete Centri Antiviolenza;Roma, Municipio XV;Donne che subiscono violenza;Ascolto, accoglienza e orientamento;Gratuito;Contatto diretto / appuntamento;338 4715860;Vedere pagina Roma Capitale;Via Cassia 5/7, Roma;"Lun–mer e ven 9–16; gio 9–17; reperibilità H24 al numero indicato";https://www.comune.roma.it/web/it/scheda-servizi.page?contentId=INF62923;2026-09-21;Verificato
ASC-006;Spazio Giovani – Consultorio IMRE;ASL Roma 1;Roma;Giovani 14–24 anni;Accoglienza e consultazione su difficoltà relazionali, affettive, sessuali e del percorso evolutivo;"Servizio consultoriale pubblico; verificare eventuali eccezioni";Spazio Giovani;06 60106232;consultorio.imre@aslroma1.it;Viale Angelico 28, Roma;Lun–mer 14–17 secondo pagina ASL;https://www.aslroma1.it/spazio-giovani;2026-09-21;Verificato
ASC-007;Spazio Giovani – Consultorio Tagliamento;ASL Roma 1;Roma;Giovani 13–25 anni;Accoglienza e consultazione per adolescenti e giovani;Servizio consultoriale pubblico;Spazio Giovani;06 60105958;Vedere pagina ASL;Via Tagliamento 19, Roma;Giovedì 14:30–17;https://www.aslroma1.it/spazio-giovani;2026-09-21;Verificato
ASC-008;Spazio Giovani – Consultorio Luzzatti;ASL Roma 1;Roma;Giovani;Accoglienza e consultazione consultoriale;Servizio consultoriale pubblico;Spazio Giovani;06 60105505 / 06 60105507;consultorio.puccinotti@aslroma1.it;Via Luzzatti 8, Roma;Lunedì 14–16:30;https://www.aslroma1.it/spazio-giovani;2026-09-21;Verificato
ASC-009;Spazio Giovani – Consultorio Fiumicino;ASL Roma 3;Fiumicino;Giovani 14–24 anni;Accoglienza, ascolto e orientamento consultoriale;Gratuito;"Accesso diretto; no impegnativa";06 56484750;consultorio.fiumicino@aslroma3.it;Via Giorgio Giorgis 56, Fiumicino;Lunedì 14:30–17;https://www.aslroma3.it/servizi-dalla-a-alla-z/c/consultori-familiari/;2026-09-21;Verificato
ASC-010;Spazio Giovani – Consultorio Acilia;ASL Roma 3;Roma, Acilia;Giovani 14–24 anni;Accoglienza, ascolto e orientamento consultoriale;Gratuito;"Accesso diretto; no impegnativa";06 56483205;consultorio.acilia@aslroma3.it;Largo G. de Montesarchio 22, Roma;Giovedì 14:30–17;https://www.aslroma3.it/servizi-dalla-a-alla-z/c/consultori-familiari/;2026-09-21;Verificato
ASC-011;Spazio Giovani – Consultorio Corviale;ASL Roma 3;Roma;Giovani 14–24 anni;Accoglienza, ascolto e orientamento consultoriale;Gratuito;"Accesso diretto; no impegnativa";06 56485724;consultorio.corviale@aslroma3.it;Largo E. Quadrelli 5, Roma;Martedì 14:30–17;https://www.aslroma3.it/servizi-dalla-a-alla-z/c/consultori-familiari/;2026-09-21;Verificato
ASC-012;Spazio Giovani – Consultorio Magliana;ASL Roma 3;Roma;Giovani 14–24 anni;Accoglienza, ascolto e orientamento consultoriale;Gratuito;"Accesso diretto; no impegnativa";06 56485510;consultorio.magliana@aslroma3.it;Via Vaiano 53, Roma;Giovedì 14:30–17;https://www.aslroma3.it/servizi-dalla-a-alla-z/c/consultori-familiari/;2026-09-21;Verificato
ASC-013;Spazio Giovani – Consultorio Monteverde;ASL Roma 3;Roma;Giovani 14–24 anni;Accoglienza, ascolto e orientamento consultoriale;Gratuito;"Accesso diretto; no impegnativa";06 56486131;Vedere pagina ASL;Via Arturo Colautti 28, Roma;Lunedì 14:30–17;https://www.aslroma3.it/servizi-dalla-a-alla-z/c/consultori-familiari/;2026-09-21;Verificato
ASC-014;Consultorio Familiare Latina – sostegno psicologico;ASL Latina;Latina;"Adolescenti 14–24 anni nel progetto potenziato; altri utenti consultoriali secondo attività";Sostegno psicologico, Spazio Giovani e attività consultoriali;"Gratuito per il progetto documentato; accesso consultoriale diretto";"Contatto diretto con segreteria; no impegnativa per il consultorio";0773 6556580;Non documentata nella pagina consultata;Piazzale Carturan, Latina;"Lun–ven 8:30–13:30; mar e gio 15–17:30 per il progetto";https://www.ausl.latina.it/13-primopiano/6794-promozione-del-benessere-della-persona-attraverso-il-potenziamento-dell-offerta-di-accesso-ai-consultori-familiari;2026-09-21;Verificato 2026
ASC-015;Consultorio Familiare Gaeta – sostegno psicologico;ASL Latina;Gaeta;"Adolescenti 14–24 anni nel progetto potenziato; altri utenti consultoriali secondo attività";Sostegno psicologico e attività consultoriali;Gratuito per il progetto documentato;Contatto diretto con segreteria;0771 779483;Non documentata;Via Salita Cappuccini, Gaeta;"Lun–ven 8:30–13:30; lun 15–17";https://www.ausl.latina.it/13-primopiano/6794-promozione-del-benessere-della-persona-attraverso-il-potenziamento-dell-offerta-di-accesso-ai-consultori-familiari;2026-09-21;Verificato 2026
