service_key;denominazione;comune;indirizzo;livello;nota;fonti
rete:R1-01;DSM Roma 1 — riferimento organizzativo;Roma;ND — non documentato nelle fonti consultate;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://www.aslroma1.it/salute-mentale
rete:R1-08;CSM Boccea;Roma;Via di Boccea, 271;D;Street too long for a new unambiguous pin (>2.5 km);https://www.aslroma1.it/presidi-territoriali/centro-salute-mentale-boccea
rete:R1-09;CSM Innocenzo IV;Roma;Via Innocenzo IV, 16/B;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://www.aslroma1.it/presidi-territoriali/centro-salute-mentale-innocenzo-iv
rete:R1-15;SerD Nomentana;Roma;Via Nomentana, 2/B;D;Street too long for a new unambiguous pin (>2.5 km);https://www.aslroma1.it/presidi-territoriali/serd-nomentana-2b
rete:R1-19;Polo Integrato Salute Mentale Cassia;Roma;Via Cassia, 472;D;Street too long for a new unambiguous pin (>2.5 km);https://www.aslroma1.it/presidi-territoriali/polo-integrato-salute-mentale-cassia
rete:R2-10;SerD Distretto 4 — ospitato altrove;Roma;ND — non documentato nelle fonti consultate;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://www.aslroma2.it/attachements/j4/com_content.article/Guida-Servizi-DSM-FINALE-21-11-2025.pdf
rete:R4-05;CSM Distretto 4 — Morlupo;Morlupo;Via Roncacci 78, Morlupo;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://www.aslroma4.it/strutture-sanitarie/strutture-di-salute-mentale
rete:R4-08;SerD Capena;Capena;Via Tiberina, km 15.500;D;Street too long for a new unambiguous pin (>2.5 km);https://www.aslroma4.it/strutture-sanitarie/ser-d-servizio-per-le-dipendenze
rete:R6-02;CSM Anzio/Nettuno;Anzio;Villa Albani, ingresso Viale Mencacci / Via Aldobrandini, 32;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://conteinrete.it/vademecum/
rete:R6-03;CSM Pomezia;Pomezia;Via del Mare, km 19;D;Street too long for a new unambiguous pin (>2.5 km);https://conteinrete.it/vademecum/
rete:R6-05;CSM Ciampino;Ciampino;Via F. Baracca, 17/19;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://conteinrete.it/vademecum/
rete:RI-01;DSM Rieti — riferimento organizzativo;Rieti;ND — non documentato nelle fonti consultate;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://www.asl.rieti.it/organizzazione-aziendale/dipartimenti/dipartimento-promozione-e-tutela-della-salute-mentale
rete:RI-02;CSM Rieti — Distretto 1;Rieti;Via Salaria per Roma 36, Rieti;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://www.asl.rieti.it/organizzazione-aziendale/dipartimenti/dipartimento-promozione-e-tutela-della-salute-mentale/uosd-csm/csm-distretto-1
rete:RI-03;CSM Poggio Mirteto — Distretto 2;Poggio Mirteto;Via Finocchieto, snc;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://www.asl.rieti.it/organizzazione-aziendale/dipartimenti/dipartimento-promozione-e-tutela-della-salute-mentale/csm-distretto-2 | https://www.asl.rieti.it/wp-content/uploads/fileadmin/user_upload/23.06_all_2.1_ELENCO_DEFINITIVO_IMMOBILI_ASL.pdf
rete:RI-04;CSM Cicolano — Peschieta di Fiamignano;Fiamignano;Via Don Agostino Gismondi 2, Peschieta di Fiamignano;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://www.asl.rieti.it/organizzazione-aziendale/dipartimenti/dipartimento-promozione-e-tutela-della-salute-mentale/uosd-csm/csm-distretto-1
