service_key,denominazione,comune,indirizzo,qualita,motivo,fonte
rete:R1-01,DSM Roma 1 — riferimento organizzativo,Roma,ND — non documentato nelle fonti consultate,D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.aslroma1.it/salute-mentale
rete:R1-08,CSM Boccea,Roma,"Via di Boccea, 271",D,Nessun pin: via troppo estesa per un pin univoco; candidati omonimi o segmenti troppo distanti,https://www.aslroma1.it/presidi-territoriali/centro-salute-mentale-boccea
rete:R1-09,CSM Innocenzo IV,Roma,"Via Innocenzo IV, 16/d",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.aslroma1.it/presidi-territoriali/centro-salute-mentale-innocenzo-iv
rete:R1-15,SerD Nomentana,Roma,"Via Nomentana, 2/b",D,Nessun pin: civico diverso o non confrontabile; candidati omonimi o segmenti troppo distanti,https://www.aslroma1.it/presidi-territoriali/serd-nomentana-2b
rete:R1-16,SerD Montesacro,Roma,"Via Montesacro, 8",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.aslroma1.it/presidi-territoriali/serd-via-montesacro
rete:R1-19,Polo Integrato Salute Mentale Cassia,Roma,"Via Cassia, 472",D,Nessun pin: candidati omonimi o segmenti troppo distanti,https://www.aslroma1.it/presidi-territoriali/polo-integrato-salute-mentale-cassia
rete:R2-10,SerD Distretto 4 — ospitato altrove,Roma,ND — non documentato nelle fonti consultate,D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.aslroma2.it/attachements/j4/com_content.article/Guida-Servizi-DSM-FINALE-21-11-2025.pdf
rete:R3-05,CSM Municipio XI — Portuense,Roma,"Via Portuense, 571",D,Nessun pin: civico diverso o non confrontabile; candidati omonimi o segmenti troppo distanti,https://www.aslroma3.it/dipartimenti/dipartimento-di-salute-mentale/uoc-salute-mentale-distretto-sanitario-municipio-xi/
rete:R3-08,SerD Casaletto,Roma,"Via del Casaletto, 400",D,Nessun pin: candidati omonimi o segmenti troppo distanti,https://www.aslroma3.it/dipartimenti/dipartimento-di-salute-mentale/uoc-salute-e-dipendenze-ser-d/
rete:R4-02,CSM Distretto 1 — Civitavecchia,Civitavecchia,"Via delle Azalee, traversa Viale G. Bianconi, Civitavecchia",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.aslroma4.it/strutture-sanitarie/strutture-di-salute-mentale
rete:R4-05,CSM Distretto 4 — Morlupo,Morlupo,"Via Roncacci 78, Morlupo",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.aslroma4.it/strutture-sanitarie/strutture-di-salute-mentale
rete:R4-06,SerD Civitavecchia,Civitavecchia,"Viale Mario Villotti, snc",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.aslroma4.it/strutture-sanitarie/ser-d-servizio-per-le-dipendenze
rete:R4-08,SerD Capena,Capena,"Via Tiberina, km 15.500",D,Nessun pin: via troppo estesa per un pin univoco; civico diverso o non confrontabile; candidati omonimi o segmenti troppo distanti,https://www.aslroma4.it/strutture-sanitarie/ser-d-servizio-per-le-dipendenze
rete:R5-03,CSM Monterotondo,Monterotondo,"Viale dell’Aeronautica 53, Monterotondo",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.aslroma5.it/dsmdp-dipartimento-di-salute-mentale-e-delle-dipendenze-patologiche/uos-csm-di-monterotondo/
rete:R5-04,CSM Subiaco,Subiaco,"Via della Repubblica 28, Subiaco",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.aslroma5.it/dsmdp-dipartimento-di-salute-mentale-e-delle-dipendenze-patologiche/uoc-csm-subiaco-e-tivoli/uos-csm-di-subiaco/
rete:R5-08,SerD Monterotondo,Monterotondo,"Via dell’Artigianato, snc",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.aslroma5.it/gioco-dazzardo-e-altre-dipendenze-comportamentali/
rete:R5-09,SerD Tivoli/Guidonia,Guidonia Montecelio,"Via dei Pioppi, snc",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.aslroma5.it/gioco-dazzardo-e-altre-dipendenze-comportamentali/
rete:R5-10,SerD Colleferro,Colleferro,"Largo Oberdan, snc",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.aslroma5.it/gioco-dazzardo-e-altre-dipendenze-comportamentali/
rete:R5-12,SerD Subiaco,Subiaco,"Contrada Colle Cisterna, snc",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.aslroma5.it/gioco-dazzardo-e-altre-dipendenze-comportamentali/
rete:R6-02,CSM Anzio/Nettuno,Anzio,"Villa Albani, ingresso Viale Mencacci / Via Aldobrandini, 32",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://conteinrete.it/vademecum/
rete:R6-03,CSM Pomezia,Pomezia,"Via del Mare, km 19",D,Nessun pin: civico diverso o non confrontabile; candidati omonimi o segmenti troppo distanti,https://conteinrete.it/vademecum/
rete:R6-05,CSM Ciampino,Ciampino,"Via F. Baracca, 17/19",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://conteinrete.it/vademecum/
rete:R6-06,CSM Frascati,Frascati,"Via Enrico Fermi, 2",D,Nessun pin: candidati omonimi o segmenti troppo distanti,https://conteinrete.it/vademecum/
rete:RI-01,DSM Rieti — riferimento organizzativo,Rieti,ND — non documentato nelle fonti consultate,D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.asl.rieti.it/organizzazione-aziendale/dipartimenti/dipartimento-promozione-e-tutela-della-salute-mentale
rete:RI-02,CSM Rieti — Distretto 1,Rieti,"Via Salaria per Roma 36, Rieti",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.asl.rieti.it/organizzazione-aziendale/dipartimenti/dipartimento-promozione-e-tutela-della-salute-mentale/uosd-csm/csm-distretto-1
rete:RI-03,CSM Poggio Mirteto — Distretto 2,Poggio Mirteto,"Via Finocchieto, snc",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.asl.rieti.it/organizzazione-aziendale/dipartimenti/dipartimento-promozione-e-tutela-della-salute-mentale/csm-distretto-2
rete:RI-04,CSM Cicolano — Peschieta di Fiamignano,Fiamignano,"Via Don Agostino Gismondi 2, Peschieta di Fiamignano",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.asl.rieti.it/organizzazione-aziendale/dipartimenti/dipartimento-promozione-e-tutela-della-salute-mentale/uosd-csm/csm-distretto-1
rete:RI-05,SerD Rieti,Rieti,"Via Salaria per Roma, 36",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.asl.rieti.it/organizzazione-aziendale/dipartimenti/dipartimento-promozione-e-tutela-della-salute-mentale/uos-attivita-terapeutico-riabilitative-per-i-disturbi-da-uso-di-sostanze-e-nuove-dipendenze
rete:RI-06,SerD Poggio Mirteto,Poggio Mirteto,"Via Finocchieto, snc",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.asl.rieti.it/guida-ai-servizi/disturbo-da-gioco-dazzardo
rete:RI-07,Alcologia e patologie correlate Rieti,Rieti,"Via Salaria per Roma, 36",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.asl.rieti.it/organizzazione-aziendale/dipartimenti-aree-e-staff/dipartimento-tutela-e-promozione-della-salute-mentale/uoc-patologia-da-dipendenza/alcologia-e-patologie-correlate/
rete:RI-08,Ambulatorio CSM Leonessa,Leonessa,"Via del Corso snc, Leonessa",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.asl.rieti.it/organizzazione-aziendale/dipartimenti/dipartimento-promozione-e-tutela-della-salute-mentale/uosd-csm/csm-distretto-1
rete:RI-09,Ambulatorio CSM Antrodoco,Antrodoco,"Piazza Martiri della Libertà, Antrodoco",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.asl.rieti.it/organizzazione-aziendale/dipartimenti/dipartimento-promozione-e-tutela-della-salute-mentale/uosd-csm/csm-distretto-1
rete:RI-10,Ambulatorio CSM Amatrice,Amatrice,"Via F. Grifoni, 26",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.asl.rieti.it/organizzazione-aziendale/dipartimenti/dipartimento-promozione-e-tutela-della-salute-mentale/uosd-csm/csm-distretto-1
rete:RI-12,Ambulatorio CSM Magliano Sabina,Magliano Sabina,"Vocabolo Filoni, 1 — 2° piano",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.asl.rieti.it/organizzazione-aziendale/dipartimenti/dipartimento-promozione-e-tutela-della-salute-mentale/csm-distretto-2
rete:RI-13,Ambulatorio CSM Osteria Nuova,Poggio Moiano / Osteria Nuova,"Viale Europa, 13",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.asl.rieti.it/organizzazione-aziendale/dipartimenti/dipartimento-promozione-e-tutela-della-salute-mentale/csm-distretto-2
rete:RI-14,SerD interno Casa Circondariale Rieti Nuovo Complesso,Rieti,ND — non documentato nelle fonti consultate,D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.asl.rieti.it/organizzazione-aziendale/dipartimenti/dipartimento-promozione-e-tutela-della-salute-mentale/uos-attivita-terapeutico-riabilitative-per-i-disturbi-da-uso-di-sostanze-e-nuove-dipendenze
