id_sede;denominazione;gestore;natura;comune;provincia;asl_territoriale;indirizzo;telefono;email;rapporto_ssn;periodo_evidenza;livello_evidenza;accesso_extraregionale;condizioni_extraregionale;fonti;servizi;ammissione;destinatari;equipe;note;accessibilita;verifica_documentale;conferma_diretta;posti_liberi;mappa_url;fonti_rapporto_ssn;validita_2026;id_modulo;modulo;ambito;regime;posti;natura_posti;stato_catalogo;note_modulo;url_fonti;ambiti_secondari;sezione;fonti_convenzione_url;documenti_ingresso;durata_percorso;criteri_limitazioni;evidenza_servizi;evidenza_sede;evidenza_posti;autorizzazione_stato;autorizzazione_fonte;accreditamento_stato;accreditamento_fonte;contratto_ssn_stato;contratto_periodo;contratto_fonte;budget_2026_stato;budget_2026_fonte;posti_autorizzati;posti_accreditati;posti_contrattualizzati;posti_dichiarati;mobilita_intraregionale;accesso_fuori_lazio_stato;accesso_fuori_lazio_prova;titolarita_gestione;evidenza_titolarita;fonte_titolarita;stato_v6;note_v6;presente_v5;sezione_v5;stato_catalogo_v5;variazione_v5_v6;nota_v7_strutturale;sezione_canonica_v7;coerenza_sezione_v6;verifica_web_v7_1_data;esito_verifica_v7_1;azione_v7_1;fonti_v7_1;stato_v7_1;sezione_canonica_v7_1;verifica_web_v7_2_data;esito_verifica_v7_2;azione_v7_2;fonti_v7_2;stato_v7_2;sezione_canonica_v7_2;verifica_web_v7_3_data;esito_verifica_v7_3;azione_v7_3;fonti_v7_3;stato_v7_3;sezione_canonica_v7_3
ARM;Villa Armonia Nuova;KOS Care s.r.l.;Privata / ente non ASL;Roma;RM;Roma 3;Via dei Bevilacqua, 43;;;Contratto SSN firmato;"01/01–31/12/2025; continuità 2026 da riconfermare";Contratto ufficiale;Non documentato;;ARM-CON | ARM-ACC | ASL3-CONTRATTI;Trattamenti psichiatrici per intensità assistenziale | Percorsi riabilitativi residenziali;"Percorso autorizzato dal servizio inviante; contattare accettazione per setting, documenti e disponibilità.";Da confermare con accettazione;;I moduli sono quelli valorizzati nel contratto. Non si considera l’intero formulario come offerta: le voci lasciate in bianco non provano erogazione.;Non documentata;2026-09-20;Non effettuata;Non rilevati: capacità autorizzata/accreditata non è disponibilità;https://www.google.com/maps/search/?api=1&query=Via%20dei%20Bevilacqua%2C%2043%2C%20Roma%2C%20Italia;ARM-CON;Non certificata: vedere annualità e fonte;MOD-002;SRTRi;Psichiatria;Residenziale;;Capacità per modulo non consolidata con contratto 2025;Convenzionata documentata;;https://www.aslroma3.it/wp-content/uploads/2025/05/contratto_budget_15593_villa-armonia-nuova.pdf | https://kosgroup.com/assets/doc/strutture/villa-armonia/dgr-conferma-requisiti-accreditamento.pdf | https://www.aslroma3.it/amministrazione-trasparente/strutture-sanitarie-private-accreditate/;;Convenzionate;https://www.aslroma3.it/wp-content/uploads/2025/05/contratto_budget_15593_villa-armonia-nuova.pdf;"Da concordare con servizio inviante e accettazione; non acquisiti sistematicamente";"Individualizzata; durata specifica non consolidata";"Idoneità clinica e amministrativa da valutare; non dedotta dal solo accreditamento";Profilo del gestore / modulo: vedi fonti. Non certifica disponibilità giornaliera.;"Indirizzo pubblicato; ingresso e coordinate non verificati";Capacità del modulo non consolidata;Da distinguere;;Da distinguere;;Documentato in V5;"01/01–31/12/2025; continuità 2026 da riconfermare";https://www.aslroma3.it/wp-content/uploads/2025/05/contratto_budget_15593_villa-armonia-nuova.pdf;Da verificare;;;;;;Da verificare;Non documentato;;Privata / ente non ASL;Gestore identificato nel dossier V5;https://www.aslroma3.it/wp-content/uploads/2025/05/contratto_budget_15593_villa-armonia-nuova.pdf | https://kosgroup.com/assets/doc/strutture/villa-armonia/dgr-conferma-requisiti-accreditamento.pdf | https://www.aslroma3.it/amministrazione-trasparente/strutture-sanitarie-private-accreditate/;Ereditato V5;;Sì;Convenzionate;Convenzionata documentata;Conservato;Nessuna nuova verifica amministrativa/clinica introdotta dalla V7 strutturale.;Convenzionate;Coerente o compatibile;;Non riesaminato in V7.1;Nessuna modifica sostanziale;;Convenzionata documentata;Convenzionate;2026-09-20;"Classificazione V7.1 conservata; nessuna regressione introdotta nella V7.2.";Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
ARM;Villa Armonia Nuova;KOS Care s.r.l.;Privata / ente non ASL;Roma;RM;Roma 3;Via dei Bevilacqua, 43;;;Contratto SSN firmato;"01/01–31/12/2025; continuità 2026 da riconfermare";Contratto ufficiale;Non documentato;;ARM-CON | ARM-ACC | ASL3-CONTRATTI;Trattamenti psichiatrici per intensità assistenziale | Percorsi riabilitativi residenziali;"Percorso autorizzato dal servizio inviante; contattare accettazione per setting, documenti e disponibilità.";Da confermare con accettazione;;I moduli sono quelli valorizzati nel contratto. Non si considera l’intero formulario come offerta: le voci lasciate in bianco non provano erogazione.;Non documentata;2026-09-20;Non effettuata;Non rilevati: capacità autorizzata/accreditata non è disponibilità;https://www.google.com/maps/search/?api=1&query=Via%20dei%20Bevilacqua%2C%2043%2C%20Roma%2C%20Italia;ARM-CON;Non certificata: vedere annualità e fonte;MOD-003;SRTRe;Psichiatria;Residenziale;;Capacità per modulo non consolidata con contratto 2025;Convenzionata documentata;;https://www.aslroma3.it/wp-content/uploads/2025/05/contratto_budget_15593_villa-armonia-nuova.pdf | https://kosgroup.com/assets/doc/strutture/villa-armonia/dgr-conferma-requisiti-accreditamento.pdf | https://www.aslroma3.it/amministrazione-trasparente/strutture-sanitarie-private-accreditate/;;Convenzionate;https://www.aslroma3.it/wp-content/uploads/2025/05/contratto_budget_15593_villa-armonia-nuova.pdf;"Da concordare con servizio inviante e accettazione; non acquisiti sistematicamente";"Individualizzata; durata specifica non consolidata";"Idoneità clinica e amministrativa da valutare; non dedotta dal solo accreditamento";Profilo del gestore / modulo: vedi fonti. Non certifica disponibilità giornaliera.;"Indirizzo pubblicato; ingresso e coordinate non verificati";Capacità del modulo non consolidata;Da distinguere;;Da distinguere;;Documentato in V5;"01/01–31/12/2025; continuità 2026 da riconfermare";https://www.aslroma3.it/wp-content/uploads/2025/05/contratto_budget_15593_villa-armonia-nuova.pdf;Da verificare;;;;;;Da verificare;Non documentato;;Privata / ente non ASL;Gestore identificato nel dossier V5;https://www.aslroma3.it/wp-content/uploads/2025/05/contratto_budget_15593_villa-armonia-nuova.pdf | https://kosgroup.com/assets/doc/strutture/villa-armonia/dgr-conferma-requisiti-accreditamento.pdf | https://www.aslroma3.it/amministrazione-trasparente/strutture-sanitarie-private-accreditate/;Ereditato V5;;Sì;Convenzionate;Convenzionata documentata;Conservato;Nessuna nuova verifica amministrativa/clinica introdotta dalla V7 strutturale.;Convenzionate;Coerente o compatibile;;Non riesaminato in V7.1;Nessuna modifica sostanziale;;Convenzionata documentata;Convenzionate;2026-09-20;"Classificazione V7.1 conservata; nessuna regressione introdotta nella V7.2.";Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
ARM;Villa Armonia Nuova;KOS Care s.r.l.;Privata / ente non ASL;Roma;RM;Roma 3;Via dei Bevilacqua, 43;;;Contratto SSN firmato;"01/01–31/12/2025; continuità 2026 da riconfermare";Contratto ufficiale;Non documentato;;ARM-CON | ARM-ACC | ASL3-CONTRATTI;Trattamenti psichiatrici per intensità assistenziale | Percorsi riabilitativi residenziali;"Percorso autorizzato dal servizio inviante; contattare accettazione per setting, documenti e disponibilità.";Adolescenti;;I moduli sono quelli valorizzati nel contratto. Non si considera l’intero formulario come offerta: le voci lasciate in bianco non provano erogazione.;Non documentata;2026-09-20;Non effettuata;Non rilevati: capacità autorizzata/accreditata non è disponibilità;https://www.google.com/maps/search/?api=1&query=Via%20dei%20Bevilacqua%2C%2043%2C%20Roma%2C%20Italia;ARM-CON;Non certificata: vedere annualità e fonte;MOD-004;SRTRi adolescenti;Psichiatria;Residenziale;;Capacità per modulo non consolidata con contratto 2025;Convenzionata documentata;;https://www.aslroma3.it/wp-content/uploads/2025/05/contratto_budget_15593_villa-armonia-nuova.pdf | https://kosgroup.com/assets/doc/strutture/villa-armonia/dgr-conferma-requisiti-accreditamento.pdf | https://www.aslroma3.it/amministrazione-trasparente/strutture-sanitarie-private-accreditate/;;Convenzionate;https://www.aslroma3.it/wp-content/uploads/2025/05/contratto_budget_15593_villa-armonia-nuova.pdf;"Da concordare con servizio inviante e accettazione; non acquisiti sistematicamente";"Individualizzata; durata specifica non consolidata";"Idoneità clinica e amministrativa da valutare; non dedotta dal solo accreditamento";Profilo del gestore / modulo: vedi fonti. Non certifica disponibilità giornaliera.;"Indirizzo pubblicato; ingresso e coordinate non verificati";Capacità del modulo non consolidata;Da distinguere;;Da distinguere;;Documentato in V5;"01/01–31/12/2025; continuità 2026 da riconfermare";https://www.aslroma3.it/wp-content/uploads/2025/05/contratto_budget_15593_villa-armonia-nuova.pdf;Da verificare;;;;;;Da verificare;Non documentato;;Privata / ente non ASL;Gestore identificato nel dossier V5;https://www.aslroma3.it/wp-content/uploads/2025/05/contratto_budget_15593_villa-armonia-nuova.pdf | https://kosgroup.com/assets/doc/strutture/villa-armonia/dgr-conferma-requisiti-accreditamento.pdf | https://www.aslroma3.it/amministrazione-trasparente/strutture-sanitarie-private-accreditate/;Ereditato V5;;Sì;Convenzionate;Convenzionata documentata;Conservato;Nessuna nuova verifica amministrativa/clinica introdotta dalla V7 strutturale.;Convenzionate;Coerente o compatibile;;Non riesaminato in V7.1;Nessuna modifica sostanziale;;Convenzionata documentata;Convenzionate;2026-09-20;"Classificazione V7.1 conservata; nessuna regressione introdotta nella V7.2.";Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
ARM;Villa Armonia Nuova;KOS Care s.r.l.;Privata / ente non ASL;Roma;RM;Roma 3;Via dei Bevilacqua, 43;;;Contratto SSN firmato;"01/01–31/12/2025; continuità 2026 da riconfermare";Contratto ufficiale;Non documentato;;ARM-CON | ARM-ACC | ASL3-CONTRATTI;Trattamenti psichiatrici per intensità assistenziale | Percorsi riabilitativi residenziali;"Percorso autorizzato dal servizio inviante; contattare accettazione per setting, documenti e disponibilità.";Da confermare con accettazione;;I moduli sono quelli valorizzati nel contratto. Non si considera l’intero formulario come offerta: le voci lasciate in bianco non provano erogazione.;Non documentata;2026-09-20;Non effettuata;Non rilevati: capacità autorizzata/accreditata non è disponibilità;https://www.google.com/maps/search/?api=1&query=Via%20dei%20Bevilacqua%2C%2043%2C%20Roma%2C%20Italia;ARM-CON;Non certificata: vedere annualità e fonte;MOD-005;SRSR H24;Psichiatria;Residenziale;;Capacità per modulo non consolidata con contratto 2025;Convenzionata documentata;;https://www.aslroma3.it/wp-content/uploads/2025/05/contratto_budget_15593_villa-armonia-nuova.pdf | https://kosgroup.com/assets/doc/strutture/villa-armonia/dgr-conferma-requisiti-accreditamento.pdf | https://www.aslroma3.it/amministrazione-trasparente/strutture-sanitarie-private-accreditate/;;Convenzionate;https://www.aslroma3.it/wp-content/uploads/2025/05/contratto_budget_15593_villa-armonia-nuova.pdf;"Da concordare con servizio inviante e accettazione; non acquisiti sistematicamente";"Individualizzata; durata specifica non consolidata";"Idoneità clinica e amministrativa da valutare; non dedotta dal solo accreditamento";Profilo del gestore / modulo: vedi fonti. Non certifica disponibilità giornaliera.;"Indirizzo pubblicato; ingresso e coordinate non verificati";Capacità del modulo non consolidata;Da distinguere;;Da distinguere;;Documentato in V5;"01/01–31/12/2025; continuità 2026 da riconfermare";https://www.aslroma3.it/wp-content/uploads/2025/05/contratto_budget_15593_villa-armonia-nuova.pdf;Da verificare;;;;;;Da verificare;Non documentato;;Privata / ente non ASL;Gestore identificato nel dossier V5;https://www.aslroma3.it/wp-content/uploads/2025/05/contratto_budget_15593_villa-armonia-nuova.pdf | https://kosgroup.com/assets/doc/strutture/villa-armonia/dgr-conferma-requisiti-accreditamento.pdf | https://www.aslroma3.it/amministrazione-trasparente/strutture-sanitarie-private-accreditate/;Ereditato V5;;Sì;Convenzionate;Convenzionata documentata;Conservato;Nessuna nuova verifica amministrativa/clinica introdotta dalla V7 strutturale.;Convenzionate;Coerente o compatibile;;Non riesaminato in V7.1;Nessuna modifica sostanziale;;Convenzionata documentata;Convenzionate;2026-09-20;"Classificazione V7.1 conservata; nessuna regressione introdotta nella V7.2.";Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
GIU;Villa Giuseppina;S. Giuseppe S.p.A.;Privata / ente non ASL;Roma;RM;Roma 3;Viale Prospero Colonna, 46;;;"Contratto SSN firmato; accreditamento distinto per modulo";"Contratto 2025; pagina gestore consultata20/09/2026";Contratto ufficiale;Non documentato;;GIU-CON | GIU-WEB;Cura psichiatrica residenziale | Trattamenti terapeutico-riabilitativi | Assistenza socio-riabilitativa;"Invio e valutazione del servizio territoriale; verificare appropriatezza del modulo.";;;;Non documentata;2026-09-20;Non effettuata;Non rilevati: capacità autorizzata/accreditata non è disponibilità;https://www.google.com/maps/search/?api=1&query=Viale%20Prospero%20Colonna%2C%2046%2C%20Roma%2C%20Italia;GIU-CON;Non certificata: vedere annualità e fonte;MOD-006;SRTRi;Psichiatria;Residenziale;30;Accreditati dichiarati dal gestore;Convenzionata documentata;"SRTRi:38 autorizzati,30 accreditati; non sommati come ulteriori posti.";https://www.aslroma3.it/wp-content/uploads/2025/05/contratto_budget_15592_villa-giuseppina.pdf | https://www.villagiuseppina.it/;;Convenzionate;https://www.aslroma3.it/wp-content/uploads/2025/05/contratto_budget_15592_villa-giuseppina.pdf;"Da concordare con servizio inviante e accettazione; non acquisiti sistematicamente";"Individualizzata; durata specifica non consolidata";"Idoneità clinica e amministrativa da valutare; non dedotta dal solo accreditamento";Profilo del gestore / modulo: vedi fonti. Non certifica disponibilità giornaliera.;"Indirizzo pubblicato; ingresso e coordinate non verificati";Accreditati dichiarati dal gestore;Da distinguere;;Documentato/indicato nel dossier V5;;Documentato in V5;"Contratto 2025; pagina gestore consultata20/09/2026";https://www.aslroma3.it/wp-content/uploads/2025/05/contratto_budget_15592_villa-giuseppina.pdf;Da verificare;;;30;;30;Da verificare;Non documentato;;Privata / ente non ASL;Gestore identificato nel dossier V5;https://www.aslroma3.it/wp-content/uploads/2025/05/contratto_budget_15592_villa-giuseppina.pdf | https://www.villagiuseppina.it/;Ereditato V5;;Sì;Convenzionate;Convenzionata documentata;Conservato;Nessuna nuova verifica amministrativa/clinica introdotta dalla V7 strutturale.;Convenzionate;Coerente o compatibile;;Non riesaminato in V7.1;Nessuna modifica sostanziale;;Convenzionata documentata;Convenzionate;2026-09-20;"Classificazione V7.1 conservata; nessuna regressione introdotta nella V7.2.";Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
GIU;Villa Giuseppina;S. Giuseppe S.p.A.;Privata / ente non ASL;Roma;RM;Roma 3;Viale Prospero Colonna, 46;;;"Contratto SSN firmato; accreditamento distinto per modulo";"Contratto 2025; pagina gestore consultata20/09/2026";Contratto ufficiale;Non documentato;;GIU-CON | GIU-WEB;Cura psichiatrica residenziale | Trattamenti terapeutico-riabilitativi | Assistenza socio-riabilitativa;"Invio e valutazione del servizio territoriale; verificare appropriatezza del modulo.";;;;Non documentata;2026-09-20;Non effettuata;Non rilevati: capacità autorizzata/accreditata non è disponibilità;https://www.google.com/maps/search/?api=1&query=Viale%20Prospero%20Colonna%2C%2046%2C%20Roma%2C%20Italia;GIU-CON;Non certificata: vedere annualità e fonte;MOD-007;SRTRe;Psichiatria;Residenziale;10;Accreditati dichiarati dal gestore;Convenzionata documentata;;https://www.aslroma3.it/wp-content/uploads/2025/05/contratto_budget_15592_villa-giuseppina.pdf | https://www.villagiuseppina.it/;;Convenzionate;https://www.aslroma3.it/wp-content/uploads/2025/05/contratto_budget_15592_villa-giuseppina.pdf;"Da concordare con servizio inviante e accettazione; non acquisiti sistematicamente";"Individualizzata; durata specifica non consolidata";"Idoneità clinica e amministrativa da valutare; non dedotta dal solo accreditamento";Profilo del gestore / modulo: vedi fonti. Non certifica disponibilità giornaliera.;"Indirizzo pubblicato; ingresso e coordinate non verificati";Accreditati dichiarati dal gestore;Da distinguere;;Documentato/indicato nel dossier V5;;Documentato in V5;"Contratto 2025; pagina gestore consultata20/09/2026";https://www.aslroma3.it/wp-content/uploads/2025/05/contratto_budget_15592_villa-giuseppina.pdf;Da verificare;;;10;;10;Da verificare;Non documentato;;Privata / ente non ASL;Gestore identificato nel dossier V5;https://www.aslroma3.it/wp-content/uploads/2025/05/contratto_budget_15592_villa-giuseppina.pdf | https://www.villagiuseppina.it/;Ereditato V5;;Sì;Convenzionate;Convenzionata documentata;Conservato;Nessuna nuova verifica amministrativa/clinica introdotta dalla V7 strutturale.;Convenzionate;Coerente o compatibile;;Non riesaminato in V7.1;Nessuna modifica sostanziale;;Convenzionata documentata;Convenzionate;2026-09-20;"Classificazione V7.1 conservata; nessuna regressione introdotta nella V7.2.";Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
GIU;Villa Giuseppina;S. Giuseppe S.p.A.;Privata / ente non ASL;Roma;RM;Roma 3;Viale Prospero Colonna, 46;;;"Contratto SSN firmato; accreditamento distinto per modulo";"Contratto 2025; pagina gestore consultata20/09/2026";Contratto ufficiale;Non documentato;;GIU-CON | GIU-WEB;Cura psichiatrica residenziale | Trattamenti terapeutico-riabilitativi | Assistenza socio-riabilitativa;"Invio e valutazione del servizio territoriale; verificare appropriatezza del modulo.";;;;Non documentata;2026-09-20;Non effettuata;Non rilevati: capacità autorizzata/accreditata non è disponibilità;https://www.google.com/maps/search/?api=1&query=Viale%20Prospero%20Colonna%2C%2046%2C%20Roma%2C%20Italia;GIU-CON;Non certificata: vedere annualità e fonte;MOD-008;SRSR H24;Psichiatria;Residenziale;40;Accreditati dichiarati dal gestore;Convenzionata documentata;;https://www.aslroma3.it/wp-content/uploads/2025/05/contratto_budget_15592_villa-giuseppina.pdf | https://www.villagiuseppina.it/;;Convenzionate;https://www.aslroma3.it/wp-content/uploads/2025/05/contratto_budget_15592_villa-giuseppina.pdf;"Da concordare con servizio inviante e accettazione; non acquisiti sistematicamente";"Individualizzata; durata specifica non consolidata";"Idoneità clinica e amministrativa da valutare; non dedotta dal solo accreditamento";Profilo del gestore / modulo: vedi fonti. Non certifica disponibilità giornaliera.;"Indirizzo pubblicato; ingresso e coordinate non verificati";Accreditati dichiarati dal gestore;Da distinguere;;Documentato/indicato nel dossier V5;;Documentato in V5;"Contratto 2025; pagina gestore consultata20/09/2026";https://www.aslroma3.it/wp-content/uploads/2025/05/contratto_budget_15592_villa-giuseppina.pdf;Da verificare;;;40;;40;Da verificare;Non documentato;;Privata / ente non ASL;Gestore identificato nel dossier V5;https://www.aslroma3.it/wp-content/uploads/2025/05/contratto_budget_15592_villa-giuseppina.pdf | https://www.villagiuseppina.it/;Ereditato V5;;Sì;Convenzionate;Convenzionata documentata;Conservato;Nessuna nuova verifica amministrativa/clinica introdotta dalla V7 strutturale.;Convenzionate;Coerente o compatibile;;Non riesaminato in V7.1;Nessuna modifica sostanziale;;Convenzionata documentata;Convenzionate;2026-09-20;"Classificazione V7.1 conservata; nessuna regressione introdotta nella V7.2.";Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
LET;Villa Letizia;Villa Letizia s.r.l.;Privata / ente non ASL;Roma;RM;Roma 3;Via Sesto Celere, 16–18–20;;;Contratto SSN firmato;"2025; riconfermare 2026";Contratto ufficiale;Non documentato;;LET-CON;Assistenza psichiatrica estensiva | Sostegno socio-riabilitativo residenziale;Percorso DSM/UVM e valutazione della struttura.;;;Non è la struttura omonima dell’Associazione Ego nel territorio Roma 5.;Non documentata;2026-09-20;Non effettuata;Non rilevati: capacità autorizzata/accreditata non è disponibilità;https://www.google.com/maps/search/?api=1&query=Via%20Sesto%20Celere%2C%2016%E2%80%9318%E2%80%9320%2C%20Roma%2C%20Italia;LET-CON;Non certificata: vedere annualità e fonte;MOD-010;SRTRe;Psichiatria;Residenziale;;Non consolidata;Convenzionata documentata;;https://www.aslroma3.it/wp-content/uploads/2025/05/contratto_budget_15594-_villa-letizia-srl-_-villa-letizia.pdf;;Convenzionate;https://www.aslroma3.it/wp-content/uploads/2025/05/contratto_budget_15594-_villa-letizia-srl-_-villa-letizia.pdf;"Da concordare con servizio inviante e accettazione; non acquisiti sistematicamente";"Individualizzata; durata specifica non consolidata";"Idoneità clinica e amministrativa da valutare; non dedotta dal solo accreditamento";Profilo del gestore / modulo: vedi fonti. Non certifica disponibilità giornaliera.;"Indirizzo pubblicato; ingresso e coordinate non verificati";Capacità del modulo non consolidata;Da distinguere;;Da distinguere;;Documentato in V5;"2025; riconfermare 2026";https://www.aslroma3.it/wp-content/uploads/2025/05/contratto_budget_15594-_villa-letizia-srl-_-villa-letizia.pdf;Da verificare;;;;;;Da verificare;Non documentato;;Privata / ente non ASL;Gestore identificato nel dossier V5;https://www.aslroma3.it/wp-content/uploads/2025/05/contratto_budget_15594-_villa-letizia-srl-_-villa-letizia.pdf;Ereditato V5;;Sì;Convenzionate;Convenzionata documentata;Conservato;Nessuna nuova verifica amministrativa/clinica introdotta dalla V7 strutturale.;Convenzionate;Coerente o compatibile;;Non riesaminato in V7.1;Nessuna modifica sostanziale;;Convenzionata documentata;Convenzionate;2026-09-20;"Classificazione V7.1 conservata; nessuna regressione introdotta nella V7.2.";Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
LET;Villa Letizia;Villa Letizia s.r.l.;Privata / ente non ASL;Roma;RM;Roma 3;Via Sesto Celere, 16–18–20;;;Contratto SSN firmato;"2025; riconfermare 2026";Contratto ufficiale;Non documentato;;LET-CON;Assistenza psichiatrica estensiva | Sostegno socio-riabilitativo residenziale;Percorso DSM/UVM e valutazione della struttura.;;;Non è la struttura omonima dell’Associazione Ego nel territorio Roma 5.;Non documentata;2026-09-20;Non effettuata;Non rilevati: capacità autorizzata/accreditata non è disponibilità;https://www.google.com/maps/search/?api=1&query=Via%20Sesto%20Celere%2C%2016%E2%80%9318%E2%80%9320%2C%20Roma%2C%20Italia;LET-CON;Non certificata: vedere annualità e fonte;MOD-011;SRSR H12;Psichiatria;Residenziale;;Non consolidata;Convenzionata documentata;H12 indica intensità dell’assistenza: rimane residenziale, non diurno.;https://www.aslroma3.it/wp-content/uploads/2025/05/contratto_budget_15594-_villa-letizia-srl-_-villa-letizia.pdf;;Convenzionate;https://www.aslroma3.it/wp-content/uploads/2025/05/contratto_budget_15594-_villa-letizia-srl-_-villa-letizia.pdf;"Da concordare con servizio inviante e accettazione; non acquisiti sistematicamente";"Individualizzata; durata specifica non consolidata";"Idoneità clinica e amministrativa da valutare; non dedotta dal solo accreditamento";Profilo del gestore / modulo: vedi fonti. Non certifica disponibilità giornaliera.;"Indirizzo pubblicato; ingresso e coordinate non verificati";Capacità del modulo non consolidata;Da distinguere;;Da distinguere;;Documentato in V5;"2025; riconfermare 2026";https://www.aslroma3.it/wp-content/uploads/2025/05/contratto_budget_15594-_villa-letizia-srl-_-villa-letizia.pdf;Da verificare;;;;;;Da verificare;Non documentato;;Privata / ente non ASL;Gestore identificato nel dossier V5;https://www.aslroma3.it/wp-content/uploads/2025/05/contratto_budget_15594-_villa-letizia-srl-_-villa-letizia.pdf;Ereditato V5;;Sì;Convenzionate;Convenzionata documentata;Conservato;Nessuna nuova verifica amministrativa/clinica introdotta dalla V7 strutturale.;Convenzionate;Coerente o compatibile;;Non riesaminato in V7.1;Nessuna modifica sostanziale;;Convenzionata documentata;Convenzionate;2026-09-20;"Classificazione V7.1 conservata; nessuna regressione introdotta nella V7.2.";Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
CHI;Villa Madre Chiara Ricci;Villa Letizia s.r.l.;Privata / ente non ASL;Roma;RM;Roma 3;;;;Contratto SSN firmato;"2025; riconfermare 2026";Contratto ufficiale;Non documentato;;CHI-CON;Riabilitazione psichiatrica estensiva per adolescenti;Invio specialistico e autorizzazione del percorso.;Adolescenti;;Indirizzo operativo non consolidato: il contratto riporta Via Sesto Celere del soggetto giuridico, non assunto automaticamente come ingresso della struttura.;Non documentata;2026-09-20;Non effettuata;Non rilevati: capacità autorizzata/accreditata non è disponibilità;;CHI-CON;Non certificata: vedere annualità e fonte;MOD-012;SRTRe adolescenti;Psichiatria;Residenziale;;Non consolidata;Convenzionata documentata;;https://www.aslroma3.it/wp-content/uploads/2025/05/contratto_budget_15595_villa-letizia-srl-_-villa-madre-chiara-ricci.pdf;;Convenzionate;https://www.aslroma3.it/wp-content/uploads/2025/05/contratto_budget_15595_villa-letizia-srl-_-villa-madre-chiara-ricci.pdf;"Da concordare con servizio inviante e accettazione; non acquisiti sistematicamente";"Individualizzata; durata specifica non consolidata";"Idoneità clinica e amministrativa da valutare; non dedotta dal solo accreditamento";Profilo del gestore / modulo: vedi fonti. Non certifica disponibilità giornaliera.;Indirizzo operativo da completare;Capacità del modulo non consolidata;Da distinguere;;Da distinguere;;Documentato in V5;"2025; riconfermare 2026";https://www.aslroma3.it/wp-content/uploads/2025/05/contratto_budget_15595_villa-letizia-srl-_-villa-madre-chiara-ricci.pdf;Da verificare;;;;;;Da verificare;Non documentato;;Privata / ente non ASL;Gestore identificato nel dossier V5;https://www.aslroma3.it/wp-content/uploads/2025/05/contratto_budget_15595_villa-letizia-srl-_-villa-madre-chiara-ricci.pdf;Ereditato V5;;Sì;Convenzionate;Convenzionata documentata;Conservato;Nessuna nuova verifica amministrativa/clinica introdotta dalla V7 strutturale.;Convenzionate;Coerente o compatibile;;Non riesaminato in V7.1;Nessuna modifica sostanziale;;Convenzionata documentata;Convenzionate;2026-09-20;"Classificazione V7.1 conservata; nessuna regressione introdotta nella V7.2.";Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
