id_fonte_v7_2;url;dominio;annualita_nell_url;origini_nel_dataset;territori_collegati;moduli_collegati;strutture_collegate;verifica_link_v7_2;moduli;strutture;ultima_verifica
F72-0001;https://asl.vt.it/centro-diurno-dsm;asl.vt.it;;rete pubblica | verifica rete pubblica V7.2;ASL Viterbo;;Centro Diurno DSM Civita Castellana | Centro Diurno DSM Tarquinia | Centro Diurno DSM Viterbo | Centro Diurno Montefiascone;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0002;https://asl.vt.it/csm-centro-di-salute-mentale;asl.vt.it;;rete pubblica | verifica rete pubblica V7.2;ASL Viterbo;;CSM / ambulatorio Acquapendente | CSM / ambulatorio Bagnoregio | CSM / ambulatorio Canino | CSM / ambulatorio Capranica | CSM / ambulatorio Civita Castellana | CSM / ambulatorio Fabrica di Roma | CSM / ambulatorio Montalto di Castro | CSM / ambulatorio Montefiascone | CSM / ambulatorio Nepi | CSM / ambulatorio Orte | CSM / ambulatorio Ronciglione | CSM / ambulatorio Soriano nel Cimino | CSM / ambulatorio Tarquinia | CSM / ambulatorio Tuscania | CSM / ambulatorio Valentano | CSM / ambulatorio Vetralla | CSM / ambulatorio Vignanello | CSM / ambulatorio Viterbo;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0003;https://asl.vt.it/droga-alcol-fumo-e-gioco-d-azzardo;asl.vt.it;;rete pubblica | verifica rete pubblica V7.2;ASL Viterbo;;SerD Civita Castellana | SerD Montefiascone | SerD Tarquinia | SerD Viterbo;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0004;https://asl.vt.it/index.php/dsm-dipartimento-di-salute-mentale;asl.vt.it;;rete pubblica | verifica rete pubblica V7.2;ASL Viterbo;;DSM Viterbo — segreteria;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0005;https://asl.vt.it/srsr-strutture-residenziali-socio-riabilitative;asl.vt.it;;rete pubblica | verifica rete pubblica V7.2;ASL Viterbo;;SRSR H24 Villa San Giuseppe | SRSR Marco Binelli;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0006;https://asl.vt.it/strutture-private-accreditate;asl.vt.it;;moduli;Viterbo;MOD-091;Agatos – Comunità Francesco Giugliarelli;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0007;https://asl.vt.it/tsmree-tutela-salute-mentale-e-riabilitazione-dell-eta-evolutiva;asl.vt.it;;rete pubblica | verifica rete pubblica V7.2;VT;;TSMREE Acquapendente | TSMREE Montefiascone | TSMREE Tarquinia | TSMREE Tuscania | TSMREE Viterbo;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0008;https://asl1abruzzo.patisweb.it/page/103/details/249395/prestazioni-di-assistenza-sanitaria-rete-privata-accreditata-insita-fuori-regione-liquidazione-fatture-maggiogiugno-2026-gesti-var-srl-srtr-estensiva-borgo-san-tommaso-roccasecca-fr.html;asl1abruzzo.patisweb.it;2026;moduli | verifica privata V7.2;Frosinone;MOD-094;Borgo San Tommaso;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0009;https://aslbenevento-appalti.maggiolicloud.it/PortaleAppalti/it/ppgare_esiti_lista.wp?actionPath=%2FExtStr2%2Fdo%2FFrontEnd%2FEsiti%2Fview.action&codice=G01544&currentFrame=7;aslbenevento-appalti.maggiolicloud.it;;moduli | verifica privata V7.2;Viterbo;MOD-091;Agatos – Comunità Francesco Giugliarelli;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0010;https://aslroma2.it/index.php/62-cittadini/servizi/medicina-protesica/139-medicina-protesica;aslroma2.it;;moduli;Roma 2;MOD-086 | MOD-087 | MOD-088 | MOD-089 | MOD-090;Associazione La Tenda ETS | Fondazione Villa Maraini ETS | IO Centro ETS;"URL estratto dal dataset; disponibilità live non garantita";;;
