id;nome;ente;natura;categoria;numero;costo_chiamata;costo_servizio;orari;destinatari;funzione;cosa_non_e;sito_ufficiale;ultima_verifica;stato_verifica
HELP-001;112 – Numero unico europeo di emergenza;Sistema NUE / Regione Lazio;Pubblico;Emergenza sanitaria e generale;112;Gratuita;Soccorso pubblico;24 ore su 24;Chiunque si trovi in una situazione di emergenza;Attiva il soccorso necessario, compresa l'emergenza sanitaria;Non è un numero per consulenza sanitaria non urgente o ascolto ordinario;https://comunicazione.regione.lazio.it/112/;2026-09-21;Verificato
HELP-002;118 – Emergenza sanitaria;Sistema di emergenza sanitaria;Pubblico;Emergenza sanitaria;118;Gratuita;Soccorso pubblico;24 ore su 24;Emergenze sanitarie;"Emergenza sanitaria; nel Lazio il 112 può attivare il soccorso sanitario";Non è per consigli sanitari non urgenti: per questi esiste il 116117;https://www.salutelazio.it/116117;2026-09-21;Verificato come numero di emergenza
HELP-003;116117 – Cure sanitarie non urgenti;Regione Lazio / SSR;Pubblico;Sanità non urgente;116117;Gratuita;Servizio pubblico;24 ore su 24, 7 giorni su 7;Residenti, non residenti e turisti presenti nel Lazio con bisogni sanitari non urgenti;Consigli sanitari non urgenti, informazione e orientamento ai servizi appropriati;Non sostituisce 112/118 nelle emergenze;https://www.salutelazio.it/116117;2026-09-21;Verificato 2026
HELP-004;Telefono Amico Italia;Telefono Amico Italia;Terzo settore;Crisi/emergenza emotiva e ascolto generale;02 2327 2327;Numero geografico: dipende dal piano telefonico;Ascolto gratuito;Tutti i giorni, 24 ore su 24;Persone che desiderano ascolto per difficoltà emotive;Ascolto anonimo e confidenziale;Non è una centrale di soccorso e non equivale a psicoterapia;https://www.telefonoamico.it/;2026-09-21;Verificato
HELP-005;1522 – Antiviolenza e stalking;Presidenza del Consiglio dei Ministri – Dipartimento Pari Opportunità;Pubblico;Violenza e stalking;1522;Gratuita da fisso e mobile;Gratuito;24 ore su 24, tutti i giorni;"Donne vittime di violenza e stalking; richieste di aiuto e orientamento";Prima risposta, ascolto e orientamento alla rete antiviolenza;"Non è il numero unico per tutte le emergenze; in pericolo immediato può servire il 112";https://www.1522.eu/;2026-09-21;Verificato
HELP-006;Telefono Rosa – Centralino nazionale;Associazione Nazionale Volontarie del Telefono Rosa;Terzo settore;Violenza e stalking;06 3751 8282;Numero geografico: secondo piano telefonico;Consulenza gratuita secondo i servizi dell'associazione;"Lunedì–venerdì 9–18; sabato 10–17";Donne che subiscono violenza di genere;Informazioni, ascolto e contatto con i servizi dell'associazione;Non è un altro nome del 1522 e non sostituisce il 112;https://www.telefonorosa.it/contatti/;2026-09-21;Verificato
HELP-007;19696 – Telefono Azzurro;SOS Il Telefono Azzurro ETS;Terzo settore / servizio di ascolto;Minori e famiglie;19696;Gratuita da fisso e mobile;Gratuito;24 ore su 24, tutti i giorni dell'anno;Bambini, adolescenti fino a 18 anni, famiglie e adulti che chiedono supporto sui bisogni dei minori;Ascolto, supporto e orientamento;Non sostituisce il 114 per emergenze specifiche dell'infanzia o il 112 per soccorso immediato;https://www.azzurro.it/;2026-09-21;Verificato
HELP-008;114 – Emergenza Infanzia;Dipartimento per le Politiche della Famiglia / gestito da Telefono Azzurro;Pubblico in gestione;Minori e famiglie;114;Gratuita;Gratuito;24 ore su 24, 365 giorni;Minori in pericolo e adulti che segnalano emergenze relative a minori;Emergenza e tutela dell'infanzia con attivazione della rete competente;Non è counselling psicologico ordinario;https://114.it/;2026-09-21;Verificato
HELP-009;Numero Verde Nazionale Unico Dipendenze;Istituto Superiore di Sanità / Dipartimento politiche contro la droga e le altre dipendenze;Pubblico;Dipendenze;800 940 789;Gratuita;Gratuito;"Lunedì–venerdì; fascia oraria corrente da verificare sul sito ISS";Persone con problemi di dipendenza, familiari/caregiver, insegnanti, educatori e operatori;Punto unico di ascolto, informazione e orientamento alle linee dedicate e ai servizi territoriali;Non è pronto soccorso e non sostituisce SerD o trattamento clinico;https://www.iss.it/cndd-telefono-verde-dipendenze;2026-09-21;"Numero verificato 2026; orario puntuale da riconfermare"
HELP-010;Telefono Verde Droga;Istituto Superiore di Sanità;Pubblico;Dipendenze da sostanze;800 186 070;Gratuita;Gratuito;Lunedì–venerdì 10:00–19:30;Persone con problemi legati alle sostanze, familiari/amici e professionisti;Counselling, informazioni validate e orientamento ai servizi;Non è un servizio di emergenza e non sostituisce il SerD;https://zerosostanze.iss.it/telefono-verde;2026-09-21;Verificato
HELP-011;Telefono Verde Alcol;Istituto Superiore di Sanità;Pubblico;Alcol;800 632000;Gratuita;Gratuito;Lunedì–venerdì 10:00–16:00;Persone con problemi o domande legate all'alcol, familiari e cittadini;Ascolto, informazione e orientamento;Non è pronto soccorso e non sostituisce i servizi per le dipendenze;https://www.iss.it/numeri-verdi;2026-09-21;Verificato sulla rete ISS
