asl;tipo;numero_record;ricontrollati_v7_2;nota
ASL Frosinone;Ambulatorio CSM;2;0;"Conteggio di nodi/sedi; non sommare come posti letto."
ASL Frosinone;CSM;7;0;"Conteggio di nodi/sedi; non sommare come posti letto."
ASL Frosinone;Centro diurno;5;5;"Conteggio di nodi/sedi; non sommare come posti letto."
ASL Frosinone;DSM;1;0;"Conteggio di nodi/sedi; non sommare come posti letto."
ASL Frosinone;Punto territoriale CSM;2;0;"Conteggio di nodi/sedi; non sommare come posti letto."
ASL Frosinone;Residenziale / semiresidenziale;1;1;"Conteggio di nodi/sedi; non sommare come posti letto."
ASL Frosinone;SRTRe;3;3;"Conteggio di nodi/sedi; non sommare come posti letto."
ASL Frosinone;SerD;4;0;"Conteggio di nodi/sedi; non sommare come posti letto."
ASL Latina;CSM;9;0;"Conteggio di nodi/sedi; non sommare come posti letto."
ASL Latina;Centro diurno;3;3;"Conteggio di nodi/sedi; non sommare come posti letto."
ASL Latina;DSM;1;0;"Conteggio di nodi/sedi; non sommare come posti letto."
ASL Latina;Residenziale;2;2;"Conteggio di nodi/sedi; non sommare come posti letto."
ASL Latina;SerD;5;0;"Conteggio di nodi/sedi; non sommare come posti letto."
ASL Rieti;Alcologia;1;0;"Conteggio di nodi/sedi; non sommare come posti letto."
ASL Rieti;Ambulatorio CSM;6;0;"Conteggio di nodi/sedi; non sommare come posti letto."
ASL Rieti;CSM;3;0;"Conteggio di nodi/sedi; non sommare come posti letto."
ASL Rieti;Centro diurno;3;3;"Conteggio di nodi/sedi; non sommare come posti letto."
ASL Rieti;DSM;1;0;"Conteggio di nodi/sedi; non sommare come posti letto."
ASL Rieti;SRTRe;1;1;"Conteggio di nodi/sedi; non sommare come posti letto."
ASL Rieti;SerD;2;0;"Conteggio di nodi/sedi; non sommare come posti letto."
ASL Rieti;SerD penitenziario;1;0;"Conteggio di nodi/sedi; non sommare come posti letto."
ASL Roma 1;Ascolto / orientamento;1;0;"Conteggio di nodi/sedi; non sommare come posti letto."
ASL Roma 1;CSM;10;0;"Conteggio di nodi/sedi; non sommare come posti letto."
ASL Roma 1;Centro diurno;12;12;"Conteggio di nodi/sedi; non sommare come posti letto."
ASL Roma 1;DSM;1;0;"Conteggio di nodi/sedi; non sommare come posti letto."
