asl;ambito;moduli;convenzionate;stpit;da_verificare
Frosinone;Dipendenze;5;2;0;3
Frosinone;Psichiatria;10;1;0;9
Latina;Psichiatria;9;9;0;0
Rieti;Dipendenze;1;0;0;1
Rieti;Psichiatria;1;1;0;0
Roma 1;Psichiatria;12;3;3;6
Roma 2;Dipendenze;7;7;0;0
Roma 3;Psichiatria;13;11;1;1
Roma 4;Dipendenze;4;2;0;2
Roma 4;Doppia diagnosi;2;2;0;0
Roma 4;Psichiatria;1;0;0;1
Roma 5;Dipendenze;1;1;0;0
Roma 5;Doppia diagnosi;2;1;1;0
Roma 5;Psichiatria;27;27;0;0
Roma 6;Dipendenze;3;0;0;3
Roma 6;Doppia diagnosi;1;1;0;0
Roma 6;Psichiatria;5;4;1;0
Viterbo;Dipendenze;5;0;0;5
Viterbo;Doppia diagnosi;1;0;0;1
Viterbo;Psichiatria;5;1;1;3
