"categoria";"id";"nome";"comune_sede";"provincia";"servizio_tipologia";"periodo_validita";"stato";"data_verifica_documentale";"fonti";"scheda_completa_json"
"rete";"NET76-001";"Centro Diurno Aprilia";"Aprilia";"LT";"Centro diurno";"Non documentato separatamente";"Riesame documentale parziale; recapito email da confermare";"2026-09-21";"https://www.ausl.latina.it/problemi-psicologici/31-azienda/449-dsm";"{""id"": ""NET76-001"", ""nome"": ""Centro Diurno Aprilia"", ""asl"": ""ASL Latina"", ""tipo"": ""Centro diurno"", ""comune"": ""Aprilia"", ""provincia"": ""LT"", ""indirizzo"": ""Via degli Oleandri 94, Aprilia"", ""telefono"": ""06 928634382"", ""email"": ""Da confermare: la tabella riporta centrodiurnolatina@ausl.latina.it anche per Aprilia."", ""orari"": ""Lun e gio 08–17:30; mar, mer e ven 08–14."", ""servizi"": ""Servizio diurno di salute mentale censito nella rete DSM."", ""accesso"": ""Progetto riabilitativo personalizzato concordato con il CSM secondo la descrizione generale della rete."", ""gestione"": ""Rete ASL Latina"", ""fonte"": ""https://www.ausl.latina.it/problemi-psicologici/31-azienda/449-dsm"", ""ultima_verifica"": ""2026-09-21"", ""verifica"": ""Riesame documentale parziale; recapito email da confermare"", ""fonti_v7_6"": [""LT-DSM""], ""ultima_verifica_v7_6"": ""2026-09-21"", ""conferma_diretta"": false}"
"privati";"PRI76-001";"Villa Maria Pia – canale privato SRSR H24";"Roma";"RM";"Degenza/residenzialità psichiatrica privata SRSR H24";"Non documentato separatamente";"Attività privata dichiarata dal gestore; dati amministrativi da verificare";"2026-09-21";"https://villamariapia.com/ricoveri/";"{""id"": ""PRI76-001"", ""denominazione"": ""Villa Maria Pia – canale privato SRSR H24"", ""sede"": ""Via del Forte Trionfale 36, Roma"", ""comune"": ""Roma"", ""provincia"": ""RM"", ""contatti"": ""06 3052651 / 06 3052652"", ""tipologia"": ""Degenza/residenzialità psichiatrica privata SRSR H24"", ""servizi_dichiarati"": ""Trattamento volontario terapeutico-riabilitativo per adulti; canale privato della SRSR H24 dichiarato."", ""destinatari"": ""Adulti; valutazione di idoneità della struttura."", ""equipe_professionisti"": ""Équipe multidisciplinare dichiarata; turni non documentati."", ""autorizzazione_sanitaria"": ""Atto specifico del canale privato non acquisito."", ""accreditamento"": ""Da distinguere dal canale privato; vedere modulo VMP del database."", ""convenzione_ssn"": ""Questo record descrive il canale a pagamento, non prova disponibilità SSN."", ""regime"": ""Residenziale"", ""sito_ufficiale"": ""https://villamariapia.com/ricoveri/"", ""fonte_istituzionale"": ""Non acquisita per il canale privato."", ""data_verifica"": ""2026-09-21"", ""stato"": ""Attività privata dichiarata dal gestore; dati amministrativi da verificare"", ""relazione_modulo"": ""MOD-020"", ""relazione_sede"": ""VMP"", ""costo"": ""Tariffa non documentata; chiedere preventivo."", ""fonti_v7_6"": [""VMP-RIC""], ""ultima_verifica_v7_6"": ""2026-09-21"", ""conferma_diretta"": false}"
"privati";"PRI76-002";"Aemme Medica – Psicologia";"Anagni";"FR";"Poliambulatorio privato";"Non documentato separatamente";"Offerta descrittiva riscontrata; accesso e stato amministrativo da confermare";"2026-09-21";"https://www.aemmemedica.it/medico/visite-ed-esami/psicologia/";"{""id"": ""PRI76-002"", ""denominazione"": ""Aemme Medica – Psicologia"", ""comune"": ""Anagni"", ""provincia"": ""FR"", ""sede"": ""Via Giovanni Giminiani 17, Anagni"", ""contatti"": ""0775 728391 / 366 2255202; info@aemmemedica.it"", ""tipologia"": ""Poliambulatorio privato"", ""servizi_dichiarati"": ""Colloqui psicologici individuali, di coppia e familiari."", ""destinatari"": ""Persone, coppie e famiglie; fascia di età da confermare."", ""equipe_professionisti"": ""Professionisti di psicologia indicati dal centro."", ""autorizzazione_sanitaria"": ""Il sito cita autorizzazione regionale G06484 del 29/05/2024; atto non acquisito direttamente."", ""accreditamento"": ""Non documentato per queste prestazioni."", ""convenzione_ssn"": ""Non documentata per queste prestazioni; non dedotta da altre attività della struttura."", ""regime"": ""Ambulatoriale"", ""sito_ufficiale"": ""https://www.aemmemedica.it/medico/visite-ed-esami/psicologia/"", ""fonte_istituzionale"": ""Non acquisita per queste prestazioni."", ""data_verifica"": ""2026-09-21"", ""stato"": ""Offerta descrittiva riscontrata; accesso e stato amministrativo da confermare"", ""costo"": ""Tariffe non documentate; chiedere preventivo."", ""orari"": ""Segreteria: lun–ven 09–13 e 15–19; sab 09–13. Non agenda del professionista."", ""fonti_v7_6"": [""PRI-AEMME""], ""ultima_verifica_v7_6"": ""2026-09-21"", ""conferma_diretta"": false}"
"privati";"PRI76-003";"AIRRI Medical – Poliambulatorio Viterbo";"Viterbo";"VT";"Poliambulatorio";"Non documentato separatamente";"Offerta descrittiva riscontrata; accesso e stato amministrativo da confermare";"2026-09-21";"https://www.airrimedical.it/it/ambulatori-viterbo/";"{""id"": ""PRI76-003"", ""denominazione"": ""AIRRI Medical – Poliambulatorio Viterbo"", ""comune"": ""Viterbo"", ""provincia"": ""VT"", ""sede"": ""Via C. Cattaneo 46/T, Viterbo"", ""contatti"": ""0761 227123 (poliambulatorio); 0761 306111 (centro)"", ""tipologia"": ""Poliambulatorio"", ""servizi_dichiarati"": ""Psicologia, neuropsichiatria infantile e neurologia elencate per la sede."", ""destinatari"": ""Adulti e minori secondo la prestazione."", ""equipe_professionisti"": ""Specialisti delle discipline elencate; équipe e turni non documentati separatamente."", ""autorizzazione_sanitaria"": ""Non documentata su fonte istituzionale nella presente ricognizione."", ""accreditamento"": ""Il sito distingue prestazioni accreditate e private. Accreditamento della singola prestazione psicologica/NPI non acquisito."", ""convenzione_ssn"": ""Da verificare per disciplina e modalità di accesso; non estesa dalle attività riabilitative accreditate."", ""regime"": ""Ambulatoriale"", ""sito_ufficiale"": ""https://www.airrimedical.it/it/ambulatori-viterbo/"", ""fonte_istituzionale"": ""Non acquisita per queste prestazioni."", ""data_verifica"": ""2026-09-21"", ""stato"": ""Offerta descrittiva riscontrata; accesso e stato amministrativo da confermare"", ""costo"": ""Tariffe non documentate; chiedere preventivo."", ""fonti_v7_6"": [""PRI-AIRRI""], ""ultima_verifica_v7_6"": ""2026-09-21"", ""conferma_diretta"": false}"
"privati";"PRI76-004";"Medical Pontino – Neuropsicologia clinica";"Latina";"LT";"Centro medico privato – area neuropsicologica";"Non documentato separatamente";"Offerta documentata in pagina del 15/11/2024; operatività corrente da confermare";"2026-09-21";"https://medicalpontino.it/neuropsicologia-clinica/";"{""id"": ""PRI76-004"", ""denominazione"": ""Medical Pontino – Neuropsicologia clinica"", ""comune"": ""Latina"", ""provincia"": ""LT"", ""sede"": ""Via Custoza 3, Latina; ingresso da confermare (anche 3/B nel sito)"", ""contatti"": ""0773 661234"", ""tipologia"": ""Centro medico privato – area neuropsicologica"", ""servizi_dichiarati"": ""Consulenza, valutazione, relazione neuropsicologica, riabilitazione e sostegno."", ""destinatari"": ""Persone con bisogni di valutazione cognitiva; criteri e fasce di età da confermare."", ""equipe_professionisti"": ""Theisy Racioppi, neuropsicologa indicata nella pagina."", ""autorizzazione_sanitaria"": ""Non documentata su fonte istituzionale nella presente ricognizione."", ""accreditamento"": ""Non documentato per queste prestazioni."", ""convenzione_ssn"": ""Non documentata per queste prestazioni; non dedotta da altre attività della struttura."", ""regime"": ""Ambulatoriale"", ""sito_ufficiale"": ""https://medicalpontino.it/neuropsicologia-clinica/"", ""fonte_istituzionale"": ""Non acquisita per queste prestazioni."", ""data_verifica"": ""2026-09-21"", ""stato"": ""Offerta documentata in pagina del 15/11/2024; operatività corrente da confermare"", ""costo"": ""Tariffe non documentate; chiedere preventivo."", ""fonti_v7_6"": [""PRI-PONT""], ""ultima_verifica_v7_6"": ""2026-09-21"", ""conferma_diretta"": false}"
"privati";"PRI76-005";"RiaH Riabilitazione – consulenza neuropsicologica";"Rieti";"RI";"Centro riabilitativo privato con canali di accesso distinti";"Non documentato separatamente";"Offerta descrittiva riscontrata; accesso e stato amministrativo da confermare";"2026-09-21";"https://www.riahsalute.it/portfolio-items/neuropsicologia/ | https://www.riahsalute.it/portfolio-items/fisiatria/";"{""id"": ""PRI76-005"", ""denominazione"": ""RiaH Riabilitazione – consulenza neuropsicologica"", ""comune"": ""Rieti"", ""provincia"": ""RI"", ""sede"": ""Via Nuova 169/A, Rieti; sede della prestazione da confermare alla segreteria"", ""contatti"": ""0746 498680; accettazione@riah.it"", ""tipologia"": ""Centro riabilitativo privato con canali di accesso distinti"", ""servizi_dichiarati"": ""Consulenza e valutazione neuropsicologica."", ""destinatari"": ""Utenti con bisogni di valutazione cognitiva; criteri da concordare."", ""equipe_professionisti"": ""Équipe specifica e turni non documentati nella pagina."", ""autorizzazione_sanitaria"": ""Non documentata su fonte istituzionale nella presente ricognizione."", ""accreditamento"": ""Non documentato per queste prestazioni."", ""convenzione_ssn"": ""Il sito descrive accessi ASL e privati; non acquisito contratto corrente specifico di neuropsicologia."", ""regime"": ""Ambulatoriale"", ""sito_ufficiale"": ""https://www.riahsalute.it/portfolio-items/neuropsicologia/"", ""fonte_istituzionale"": ""Non acquisita per queste prestazioni."", ""data_verifica"": ""2026-09-21"", ""stato"": ""Offerta descrittiva riscontrata; accesso e stato amministrativo da confermare"", ""costo"": ""Tariffe non documentate; chiedere preventivo."", ""prenotazione"": ""Contatto con accettazione; prescrizione medica prevista nelle regole generali del centro."", ""fonti_v7_6"": [""PRI-RIAH"", ""RIAH-ACCESS""], ""ultima_verifica_v7_6"": ""2026-09-21"", ""conferma_diretta"": false}"
"privati";"PRI76-006";"Istituto Santa Chiara – Latina";"Latina";"LT";"Centro ambulatoriale riabilitativo privato";"Non documentato separatamente";"Offerta privata/non ASL documentata; regime di pagamento e rapporti SSN da confermare";"2026-09-21";"https://istitutosantachiara.it/sedi/latina/";"{""id"": ""PRI76-006"", ""denominazione"": ""Istituto Santa Chiara – Latina"", ""comune"": ""Latina"", ""provincia"": ""LT"", ""sede"": ""Viale Le Corbusier 393, Latina"", ""contatti"": ""latinariabilitazione@istitutosantachiara.it; telefono non documentato nella pagina"", ""tipologia"": ""Centro ambulatoriale riabilitativo privato"", ""servizi_dichiarati"": ""Neuropsicologia, psicoterapia, DSA, autismo, logopedia e neuropsicomotricità."", ""destinatari"": ""Età evolutiva e adulti secondo progetto riabilitativo."", ""equipe_professionisti"": ""Équipe multidisciplinare dichiarata; ruoli e turni da confermare."", ""autorizzazione_sanitaria"": ""Il gestore dichiara autorizzazione regionale per centro ex art. 26; estremi dell’atto non acquisiti."", ""accreditamento"": ""Non documentato per queste prestazioni."", ""convenzione_ssn"": ""Non documentata per queste prestazioni; non dedotta da altre attività della struttura."", ""regime"": ""Ambulatoriale"", ""sito_ufficiale"": ""https://istitutosantachiara.it/sedi/latina/"", ""fonte_istituzionale"": ""Non acquisita per queste prestazioni."", ""data_verifica"": ""2026-09-21"", ""stato"": ""Offerta privata/non ASL documentata; regime di pagamento e rapporti SSN da confermare"", ""costo"": ""Tariffe non documentate; chiedere preventivo."", ""orari"": ""Su appuntamento: lun–ven 08–20, sab 08–14."", ""fonti_v7_6"": [""PRI-SCLT""], ""ultima_verifica_v7_6"": ""2026-09-21"", ""conferma_diretta"": false}"
"scuole";"SCU76-001";"Circolo Didattico Trilussa";"Pomezia";"RM";"Sportello di ascolto psicologico";"Avvio 26/03/2026; A.S. 2025/26";"Storico – disponibilità 2026/27 da confermare";"2026-09-21";"https://www.cdtrilussapomezia.edu.it/pagine/sportello-psicologico-";"{""id"": ""SCU76-001"", ""istituto"": ""Circolo Didattico Trilussa"", ""comune"": ""Pomezia"", ""provincia"": ""RM"", ""ordine_grado"": ""Infanzia / primaria"", ""servizio"": ""Sportello di ascolto psicologico"", ""ammessi"": ""Studenti, famiglie e personale secondo avviso"", ""gratuito"": ""Non documentato"", ""modalita_accesso"": ""In presenza il giovedì nel periodo dell’avviso; consenso per minori da verificare."", ""prenotazione"": ""Non documentata nel riscontro acquisito"", ""professionista_ente_gestore"": ""Madalina Grigore"", ""periodo_validita"": ""Avvio 26/03/2026; A.S. 2025/26"", ""telefono_email_link"": ""Segreteria: Via G. Matteotti 7, Pomezia; 06 9122310; rmee309003@istruzione.it"", ""collaborazione_pubblica"": ""Istituto scolastico; altri partner non documentati"", ""fonte"": ""https://www.cdtrilussapomezia.edu.it/pagine/sportello-psicologico-"", ""ultima_verifica"": ""2026-09-21"", ""stato_dato"": ""Storico – disponibilità 2026/27 da confermare"", ""tipo_record"": ""sportello_scolastico"", ""fonti_v7_6"": [""SRC-SCU76-001""], ""ultima_verifica_v7_6"": ""2026-09-21"", ""conferma_diretta"": false}"
"scuole";"SCU76-002";"IIS Pontecorvo";"Pontecorvo";"FR";"Sportello di ascolto psicologico";"27/02/2026 – maggio 2026";"Storico – disponibilità 2026/27 da confermare";"2026-09-21";"https://www.ispontecorvo.edu.it/pagine/sportello-dascolto-per-supporto-e-assistenza-psicologica";"{""id"": ""SCU76-002"", ""istituto"": ""IIS Pontecorvo"", ""comune"": ""Pontecorvo"", ""provincia"": ""FR"", ""ordine_grado"": ""Secondaria di II grado"", ""servizio"": ""Sportello di ascolto psicologico"", ""ammessi"": ""Studenti; interventi individuali e con le classi indicati dall’avviso"", ""gratuito"": ""Non documentato"", ""modalita_accesso"": ""Secondo la circolare della scuola; per minori verificare i consensi richiesti."", ""prenotazione"": ""Non documentata nel riscontro acquisito"", ""professionista_ente_gestore"": ""Non documentato"", ""periodo_validita"": ""27/02/2026 – maggio 2026"", ""telefono_email_link"": ""Sede istituto: Via XXIV Maggio 106, Pontecorvo; altri contatti da verificare."", ""collaborazione_pubblica"": ""Istituto scolastico; altri partner non documentati"", ""fonte"": ""https://www.ispontecorvo.edu.it/pagine/sportello-dascolto-per-supporto-e-assistenza-psicologica"", ""ultima_verifica"": ""2026-09-21"", ""stato_dato"": ""Storico – disponibilità 2026/27 da confermare"", ""tipo_record"": ""sportello_scolastico"", ""fonti_v7_6"": [""SRC-SCU76-002""], ""ultima_verifica_v7_6"": ""2026-09-21"", ""conferma_diretta"": false}"
"scuole";"SCU76-003";"Liceo Benedetto da Norcia";"Roma";"RM";"Sportello di ascolto psicologico";"Avvio 16/03/2026; A.S. 2025/26";"Storico – disponibilità 2026/27 da confermare";"2026-09-21";"https://www.liceobenedettodanorcia.edu.it/pagine/sportello-di-ascolto-psicologico";"{""id"": ""SCU76-003"", ""istituto"": ""Liceo Benedetto da Norcia"", ""comune"": ""Roma"", ""provincia"": ""RM"", ""ordine_grado"": ""Secondaria di II grado"", ""servizio"": ""Sportello di ascolto psicologico"", ""ammessi"": ""Studenti, genitori, docenti e personale"", ""gratuito"": ""Sì secondo avviso"", ""modalita_accesso"": ""In presenza nei plessi secondo calendario scolastico; consenso per minori."", ""prenotazione"": ""sportello.dascolto@liceobenedettodanorcia.edu.it"", ""professionista_ente_gestore"": ""Giada Di Chio"", ""periodo_validita"": ""Avvio 16/03/2026; A.S. 2025/26"", ""telefono_email_link"": ""sportello.dascolto@liceobenedettodanorcia.edu.it"", ""collaborazione_pubblica"": ""Istituto scolastico; altri partner non documentati"", ""fonte"": ""https://www.liceobenedettodanorcia.edu.it/pagine/sportello-di-ascolto-psicologico"", ""ultima_verifica"": ""2026-09-21"", ""stato_dato"": ""Storico – disponibilità 2026/27 da confermare"", ""tipo_record"": ""sportello_scolastico"", ""fonti_v7_6"": [""SRC-SCU76-003""], ""ultima_verifica_v7_6"": ""2026-09-21"", ""conferma_diretta"": false}"
