id;nome;asl;tipo;comune;indirizzo;telefono;email;servizi;attribuzione_servizi;accesso;orari;fonte;gestione;verifica;ultima_verifica;note;origine_dato_v7;stato_riesame_v7;nota_temporale_v7;titolarita_v6;esito_v6;fonte_v6;livello_prova_v6;note_v6;origine_record_v7_2;stato_verifica_v7_2;fonte_verifica_v7_2;data_verifica_v7_2;note_v7_2
R1-01;DSM Roma 1 — riferimento organizzativo;ASL Roma 1;DSM;Roma;ND — non documentato nelle fonti consultate;ND — non documentato nelle fonti consultate;ND — non documentato nelle fonti consultate;Coordinamento della rete salute mentale e dipendenze;Dato già presente nel censimento precedente;ND — non documentato nelle fonti consultate;ND — non documentato nelle fonti consultate;https://www.aslroma1.it/salute-mentale;Rete ASL — dato ereditato V4;Non riesaminato nella revisione residenziale V5;2026-09-19;;Rete_ASL_V6;Ereditata / non riesaminata nella V7;La data presente in 'ultima_verifica' non equivale a un nuovo riesame V7.;;;;;;Rete ASL V7.1;"Ereditato V7.1; non necessariamente ricontrollato nella V7.2";https://www.aslroma1.it/salute-mentale;;
R1-02;CSM Plinio;ASL Roma 1;CSM;Roma;Via Plinio, 31;0660105840;ND — non documentato nelle fonti consultate;"Accoglienza/accesso diretto; attività diagnostica, terapeutica e assistenziale; consulenze in ospedali e RSA; pronto intervento psichiatrico attivato da ARES 118; raccordo con SPDC e strutture psichiatriche residenziali/semiresidenziali; interventi con i familiari.";Sede specifica — pagina istituzionale ASL della singola sede;Accesso diretto o tramite PUA/servizio territoriale secondo le modalità della sede;"Lun–mar 08–20; mer–ven 08–14; ven pomeriggio e sab alternanza con Palestro";https://www.aslroma1.it/presidi-territoriali/centro-di-salute-mentale-plinio;Rete ASL — dato ereditato V4;Non riesaminato nella revisione residenziale V5;2026-09-19;;Rete_ASL_V6;Ereditata / non riesaminata nella V7;La data presente in 'ultima_verifica' non equivale a un nuovo riesame V7.;;;;;;Rete ASL V7.1;"Ereditato V7.1; non necessariamente ricontrollato nella V7.2";https://www.aslroma1.it/presidi-territoriali/centro-di-salute-mentale-plinio;;
R1-03;CSM Palestro;ASL Roma 1;CSM;Roma;Via Palestro, 39;0660106050;ND — non documentato nelle fonti consultate;"Interventi terapeutici; trattamenti psicoterapeutici e psichiatrici; interventi socio-assistenziali e domiciliari; interventi in collegamento con la Centrale 118; consulenza/collaborazione con strutture sociali e sanitarie e con i Medici di Medicina Generale.";Sede specifica — pagina istituzionale ASL della singola sede;Accesso diretto o tramite PUA/servizio territoriale secondo le modalità della sede;"Lun–mar e ven 08–14; mer–gio 08–20; ven pomeriggio e sab alternanza con Plinio";https://www.aslroma1.it/presidi-territoriali/centro-salute-mentale-via-palestro;Rete ASL — dato ereditato V4;Non riesaminato nella revisione residenziale V5;2026-09-19;;Rete_ASL_V6;Ereditata / non riesaminata nella V7;La data presente in 'ultima_verifica' non equivale a un nuovo riesame V7.;;;;;;Rete ASL V7.1;"Ereditato V7.1; non necessariamente ricontrollato nella V7.2";https://www.aslroma1.it/presidi-territoriali/centro-salute-mentale-via-palestro;;
R1-04;CSM Sabrata;ASL Roma 1;CSM;Roma;Via Sabrata, 12;0660105919;ND — non documentato nelle fonti consultate;"Interventi terapeutici; trattamenti psicoterapeutici e psichiatrici; interventi socio-assistenziali e domiciliari; interventi in collegamento con la Centrale 118; consulenza/collaborazione con strutture sociali e sanitarie e con i Medici di Medicina Generale. La sede dichiara inoltre attività per i disturbi del comportamento alimentare.";Sede specifica — pagina istituzionale ASL della singola sede;Accesso diretto o tramite PUA/servizio territoriale secondo le modalità della sede;"Lun–ven 08:00–20:00; sab e prefestivi 08:00–14:00";https://www.aslroma1.it/presidi-territoriali/centro-di-salute-mentale-sabrata;Rete ASL — dato ereditato V4;Non riesaminato nella revisione residenziale V5;2026-09-19;;Rete_ASL_V6;Ereditata / non riesaminata nella V7;La data presente in 'ultima_verifica' non equivale a un nuovo riesame V7.;;;;;;Rete ASL V7.1;"Ereditato V7.1; non necessariamente ricontrollato nella V7.2";https://www.aslroma1.it/presidi-territoriali/centro-di-salute-mentale-sabrata;;
R1-05;Presidio Boemondo;ASL Roma 1;Presidio salute mentale;Roma;Via Boemondo, 21;0660106030;ND — non documentato nelle fonti consultate;"Interventi terapeutici; trattamenti psicoterapeutici e psichiatrici; interventi socio-assistenziali e domiciliari; interventi in collegamento con la Centrale 118; consulenza/collaborazione con strutture sociali e sanitarie e con i Medici di Medicina Generale. È presente il Polo ADHD Adulti per la valutazione del Disturbo dell'Attenzione nell'adulto.";Sede specifica — pagina istituzionale ASL della singola sede;Accesso diretto o tramite PUA/servizio territoriale secondo le modalità della sede;"Lun–ven 08:00–14:30; Polo ADHD adulti: mar 08:00–14:00 su appuntamento";https://www.aslroma1.it/presidi-territoriali/centro-salute-mentale-via-boemondo;Rete ASL — dato ereditato V4;Non riesaminato nella revisione residenziale V5;2026-09-19;;Rete_ASL_V6;Ereditata / non riesaminata nella V7;La data presente in 'ultima_verifica' non equivale a un nuovo riesame V7.;;;;;;Rete ASL V7.1;"Ereditato V7.1; non necessariamente ricontrollato nella V7.2";https://www.aslroma1.it/presidi-territoriali/centro-salute-mentale-via-boemondo;;
R1-06;CSM Monte Tomatico;ASL Roma 1;CSM;Roma;Via Monte Tomatico, 9;0660105291 / 0660105292;ND — non documentato nelle fonti consultate;"Interventi terapeutici; trattamenti psicoterapeutici e psichiatrici; interventi socio-assistenziali e domiciliari; interventi in collegamento con la Centrale 118; consulenza/collaborazione con strutture sociali e sanitarie e con i Medici di Medicina Generale.";Sede specifica — pagina istituzionale ASL della singola sede;Accesso diretto o tramite PUA/servizio territoriale secondo le modalità della sede;"Mattine feriali 08–14; rientri e sabati secondo calendario alternato, da confermare";https://www.aslroma1.it/presidi-territoriali/centro-salute-mentale-via-monte-tomatico;Rete ASL — dato ereditato V4;Non riesaminato nella revisione residenziale V5;2026-09-19;;Rete_ASL_V6;Ereditata / non riesaminata nella V7;La data presente in 'ultima_verifica' non equivale a un nuovo riesame V7.;;;;;;Rete ASL V7.1;"Ereditato V7.1; non necessariamente ricontrollato nella V7.2";https://www.aslroma1.it/presidi-territoriali/centro-salute-mentale-via-monte-tomatico;;
R1-07;CSM Farulli;ASL Roma 1;CSM;Roma;Via Ugo Farulli, 6;0660105624;ND — non documentato nelle fonti consultate;"Interventi terapeutici; trattamenti psicoterapeutici e psichiatrici; interventi socio-assistenziali e domiciliari; interventi in collegamento con la Centrale 118; consulenza/collaborazione con strutture sociali e sanitarie e con i Medici di Medicina Generale.";Sede specifica — pagina istituzionale ASL della singola sede;Accesso diretto o tramite PUA/servizio territoriale secondo le modalità della sede;"Mattine feriali 08–14; rientri e sabati secondo calendario alternato, da confermare";https://www.aslroma1.it/presidi-territoriali/centro-salute-mentale-via-farulli;Rete ASL — dato ereditato V4;Non riesaminato nella revisione residenziale V5;2026-09-19;;Rete_ASL_V6;Ereditata / non riesaminata nella V7;La data presente in 'ultima_verifica' non equivale a un nuovo riesame V7.;;;;;;Rete ASL V7.1;"Ereditato V7.1; non necessariamente ricontrollato nella V7.2";https://www.aslroma1.it/presidi-territoriali/centro-salute-mentale-via-farulli;;
R1-08;CSM Boccea;ASL Roma 1;CSM;Roma;Via di Boccea, 271;0660105125;ND — non documentato nelle fonti consultate;"Accoglienza/accesso diretto; attività diagnostica, terapeutica e assistenziale; consulenze in ospedali e RSA; pronto intervento psichiatrico attivato da ARES 118; raccordo con SPDC e strutture psichiatriche residenziali/semiresidenziali; interventi con i familiari.";Sede specifica — pagina istituzionale ASL della singola sede;Accesso diretto o tramite PUA/servizio territoriale secondo le modalità della sede;"Lun–ven 08:00–20:00; sab e prefestivi 08:00–14:00";https://www.aslroma1.it/presidi-territoriali/centro-salute-mentale-boccea;Rete ASL — dato ereditato V4;Non riesaminato nella revisione residenziale V5;2026-09-19;;Rete_ASL_V6;Ereditata / non riesaminata nella V7;La data presente in 'ultima_verifica' non equivale a un nuovo riesame V7.;;;;;;Rete ASL V7.1;"Ereditato V7.1; non necessariamente ricontrollato nella V7.2";https://www.aslroma1.it/presidi-territoriali/centro-salute-mentale-boccea;;
R1-09;CSM Innocenzo IV;ASL Roma 1;CSM;Roma;Via Innocenzo IV, 16/d;0660106090;ND — non documentato nelle fonti consultate;"Accoglienza/accesso diretto; attività diagnostica, terapeutica e assistenziale; consulenze in ospedali e RSA; pronto intervento psichiatrico attivato da ARES 118; raccordo con SPDC e strutture psichiatriche residenziali/semiresidenziali; interventi con i familiari.";Sede specifica — pagina istituzionale ASL della singola sede;Accesso diretto o tramite PUA/servizio territoriale secondo le modalità della sede;"Lun–ven 08:00–20:00; sab e prefestivi 08:00–14:00";https://www.aslroma1.it/presidi-territoriali/centro-salute-mentale-innocenzo-iv;Rete ASL — dato ereditato V4;Non riesaminato nella revisione residenziale V5;2026-09-19;;Rete_ASL_V6;Ereditata / non riesaminata nella V7;La data presente in 'ultima_verifica' non equivale a un nuovo riesame V7.;;;;;;Rete ASL V7.1;"Ereditato V7.1; non necessariamente ricontrollato nella V7.2";https://www.aslroma1.it/presidi-territoriali/centro-salute-mentale-innocenzo-iv;;
R1-10;CSM Gasparri;ASL Roma 1;CSM;Roma;Via Pietro Gasparri, 21;0660106140;ND — non documentato nelle fonti consultate;"Accoglienza/accesso diretto; attività diagnostica, terapeutica e assistenziale; consulenze in ospedali e RSA; pronto intervento psichiatrico attivato da ARES 118; raccordo con SPDC e strutture psichiatriche residenziali/semiresidenziali; interventi con i familiari. È presente un Polo ADHD Adulti.";Sede specifica — pagina istituzionale ASL della singola sede;Accesso diretto o tramite PUA/servizio territoriale secondo le modalità della sede;"Lun–ven 08:00–20:00; sab e prefestivi 08:00–14:00";https://www.aslroma1.it/presidi-territoriali/centro-salute-mentale-gasparri;Rete ASL — dato ereditato V4;Non riesaminato nella revisione residenziale V5;2026-09-19;;Rete_ASL_V6;Ereditata / non riesaminata nella V7;La data presente in 'ultima_verifica' non equivale a un nuovo riesame V7.;;;;;;Rete ASL V7.1;"Ereditato V7.1; non necessariamente ricontrollato nella V7.2";https://www.aslroma1.it/presidi-territoriali/centro-salute-mentale-gasparri;;
