id;istituto;comune;provincia;ordine_grado;servizio;ammessi;gratuito;modalita_accesso;prenotazione;professionista_ente_gestore;periodo_validita;telefono_email_link;collaborazione_pubblica;fonte;ultima_verifica;stato_dato
SCU-001;Istituto Comprensivo Raffaello;Roma;RM;Istituto comprensivo;Sportello di ascolto psicologico / AscoltaMI;"Studenti e famiglie secondo il servizio; dettaglio del singolo canale da verificare";Da verificare;"Servizio esposto sul sito scolastico 2026/27; AscoltaMI è telematico";Secondo le modalità della scuola o della piattaforma Unica per AscoltaMI;Istituto scolastico / programma MIM per AscoltaMI;A.S. 2026/2027;"Via Giuseppe Capograssi 23, Roma; 06 72633026; RMIC83700E@istruzione.it";MIM per AscoltaMI;https://www.icraffaello.edu.it/;2026-09-21;"Attuale 2026/27; distinguere sportello della scuola e AscoltaMI"
SCU-002;Istituto Comprensivo Via Trionfale;Roma;RM;Secondaria di I grado nell'istituto comprensivo;Sportello d'Ascolto Psicologico;"Alunni della scuola secondaria di primo grado; altri destinatari non documentati";Da verificare;Nell'ambito del progetto di prevenzione del disagio;Da verificare;Non documentato nella pagina indicizzata;"Attivazione documentata nel 2026; rinnovo A.S. 2026/27 da confermare";Sito istituzionale;Istituto scolastico statale;https://www.icviatrionfale.edu.it/;2026-09-21;Da confermare 2026/27
SCU-003;Istituto Magistrale Statale Margherita di Savoia;Roma;RM;Secondaria di II grado;Sportello psicologico per studenti, docenti e genitori;Studenti, docenti, genitori;Da verificare;Servizio esposto sul sito A.S. 2026/27;Da verificare nella scheda del servizio;Non documentato nella ricognizione;A.S. 2026/2027;Sito istituzionale;Istituto scolastico statale;https://margheritadisavoiaroma.edu.it/;2026-09-21;Attuale 2026/27
SCU-004;Istituto Comprensivo Via Aretusa;Roma;RM;Infanzia, primaria e secondaria di I grado;Sportello di Ascolto Psicologico;Destinatari specifici da verificare nella scheda del servizio;Da verificare;Servizio esposto sul sito scolastico;Da verificare;Non documentato nella ricognizione;Sito A.S. 2026/2027;"Via Aretusa 5, Roma; 06 2292314; rmic8e100r@istruzione.it";Istituto scolastico statale;https://www.icaretusa.edu.it/;2026-09-21;"Attuale 2026/27; dettagli da completare"
SCU-005;ITIS G. Armellini;Roma;RM;Secondaria di II grado;"Sportello di ascolto; AscoltaMI";"Studenti; per AscoltaMI valgono le classi previste dal programma nazionale";"Da verificare per lo sportello scolastico; AscoltaMI è servizio MIM";"Presenza/istituto per lo sportello; online per AscoltaMI";Secondo scheda scolastica o piattaforma Unica;Istituto scolastico / MIM per AscoltaMI;Sito A.S. 2026/2027;Sito istituzionale;MIM per AscoltaMI;https://www.itisarmellini.edu.it/;2026-09-21;"Attuale 2026/27; canali distinti"
SCU-006;Liceo Scientifico e Linguistico A. Landi;Velletri;RM;Secondaria di II grado;Sportello di ascolto psicologico;Studenti, famiglie, docenti e personale ATA secondo la circolare;Da verificare;Sportello scolastico;Secondo circolare/autorizzazioni dell'istituto;Dott.ssa Chiara Pecorari;A.S. 2026/2027, avvio 15/09/2026;Sito istituzionale;Istituto scolastico statale;https://www.liceolandi.edu.it/circolare/apertura-sportello-di-ascolto-psicologico-2/;2026-09-21;Attuale 2026/27
SCU-007;Istituto Comprensivo Frosinone Quarto;Frosinone;FR;Istituto comprensivo;AscoltaMI – Sportello psicologico;"Studentesse e studenti delle classi previste dal programma; famiglie per l'attivazione";"Servizio MIM; verificare condizioni nella finestra corrente";Online;Piattaforma Unica secondo il programma MIM;Ministero dell'Istruzione e del Merito – AscoltaMI;Pagina presente sul sito A.S. 2026/2027;Sito istituzionale;MIM;https://www.istitutocomprensivofrosinonequarto.edu.it/;2026-09-21;Da confermare per disponibilità effettiva dello slot 2026/27
SCU-008;Istituto Comprensivo Aldo Manuzio;Latina;LT;Infanzia, primaria e secondaria di I grado;Sportello di ascolto psicologico;"Il sito presenta i servizi a genitori, studenti, personale ATA e docenti; destinatari specifici dello sportello da confermare";Da verificare;Servizio scolastico;Da verificare;Non documentato;A.S. 2026/2027;Sito istituzionale;Istituto scolastico statale;https://www.icmanuzio.edu.it/;2026-09-21;"Attuale 2026/27; dettagli da completare"
SCU-009;Liceo Statale A. Meucci;Aprilia;LT;Secondaria di II grado;Sportello di ascolto psicologico;"Servizio esposto tra quelli della scuola; destinatari puntuali da verificare";Da verificare;Sportello scolastico;Da verificare;Non documentato;A.S. 2026/2027;Sito istituzionale;Istituto scolastico statale;https://liceoaprilia.edu.it/;2026-09-21;Attuale 2026/27
SCU-010;Istituto Omnicomprensivo Castelforte – Liceo L.B. Alberti Minturno;Minturno / Castelforte;LT;Secondaria di II grado (servizio Liceo);Sportello di ascolto psicologico;Da verificare nella scheda;Da verificare;Sportello scolastico;Da verificare;Non documentato;A.S. 2025/2026;Sito istituzionale;Istituto scolastico statale;https://omnicastelforte-albertiminturno.edu.it/;2026-09-21;Storico 2025/26 – non presentato come attivo 2026/27
