id_modulo;denominazione;modulo;presente_v5;sezione_v5;stato_catalogo_v5;stato_v6;sezione_canonica_v7;stato_v7_1;stato_v7_2;stato_v7_3;sezione_canonica_v7_3
MOD-001;Villa Armonia Nuova;STPIT;Sì;STPIT;Convenzionata documentata;STPIT verificato come servizio corrente;STPIT;Convenzionata documentata;Convenzionata documentata;Convenzionata documentata;STPIT
MOD-002;Villa Armonia Nuova;SRTRi;Sì;Convenzionate;Convenzionata documentata;Ereditato V5;Convenzionate;Convenzionata documentata;Convenzionata documentata;Convenzionata documentata;Convenzionate
MOD-003;Villa Armonia Nuova;SRTRe;Sì;Convenzionate;Convenzionata documentata;Ereditato V5;Convenzionate;Convenzionata documentata;Convenzionata documentata;Convenzionata documentata;Convenzionate
MOD-004;Villa Armonia Nuova;SRTRi adolescenti;Sì;Convenzionate;Convenzionata documentata;Ereditato V5;Convenzionate;Convenzionata documentata;Convenzionata documentata;Convenzionata documentata;Convenzionate
MOD-005;Villa Armonia Nuova;SRSR H24;Sì;Convenzionate;Convenzionata documentata;Ereditato V5;Convenzionate;Convenzionata documentata;Convenzionata documentata;Convenzionata documentata;Convenzionate
MOD-006;Villa Giuseppina;SRTRi;Sì;Convenzionate;Convenzionata documentata;Ereditato V5;Convenzionate;Convenzionata documentata;Convenzionata documentata;Convenzionata documentata;Convenzionate
MOD-007;Villa Giuseppina;SRTRe;Sì;Convenzionate;Convenzionata documentata;Ereditato V5;Convenzionate;Convenzionata documentata;Convenzionata documentata;Convenzionata documentata;Convenzionate
MOD-008;Villa Giuseppina;SRSR H24;Sì;Convenzionate;Convenzionata documentata;Ereditato V5;Convenzionate;Convenzionata documentata;Convenzionata documentata;Convenzionata documentata;Convenzionate
MOD-009;Villa Giuseppina;Centro diurno;Sì;Da completare / escluse;Esclusa dal convenzionato;Ereditato V5;Da verificare 2026;Centro diurno: specifico rapporto SSN 2026 non comprovato;Centro diurno: specifico rapporto SSN 2026 non comprovato;Centro diurno: specifico rapporto SSN 2026 non comprovato;Da verificare 2026
MOD-010;Villa Letizia;SRTRe;Sì;Convenzionate;Convenzionata documentata;Ereditato V5;Convenzionate;Convenzionata documentata;Convenzionata documentata;Convenzionata documentata;Convenzionate
MOD-011;Villa Letizia;SRSR H12;Sì;Convenzionate;Convenzionata documentata;Ereditato V5;Convenzionate;Convenzionata documentata;Convenzionata documentata;Convenzionata documentata;Convenzionate
MOD-012;Villa Madre Chiara Ricci;SRTRe adolescenti;Sì;Convenzionate;Convenzionata documentata;Ereditato V5;Convenzionate;Convenzionata documentata;Convenzionata documentata;Convenzionata documentata;Convenzionate
MOD-013;Casa Siloè;Centro diurno adolescenti;Sì;Convenzionate;Convenzionata documentata;Ereditato V5;Convenzionate;Convenzionata documentata;Convenzionata documentata;Convenzionata documentata;Convenzionate
MOD-014;Villa Von Siebenthal;STPIT;Sì;STPIT;Convenzionata documentata;STPIT verificato come servizio corrente;STPIT;Convenzionata documentata;Convenzionata documentata;Convenzionata documentata;STPIT
MOD-015;Villa Von Siebenthal;SRSR H24;Sì;Convenzionate;Convenzionata documentata;Ereditato V5;Convenzionate;Convenzionata documentata;Convenzionata documentata;Convenzionata documentata;Convenzionate
MOD-016;Villa Von Siebenthal;SRTRe adulti;Sì;Convenzionate;Convenzionata documentata;Ereditato V5;Convenzionate;Convenzionata documentata;Convenzionata documentata;Convenzionata documentata;Convenzionate
MOD-017;Villa Von Siebenthal;SRTRi adolescenti;Sì;Convenzionate;Convenzionata documentata;Ereditato V5;Convenzionate;Convenzionata documentata;Convenzionata documentata;Convenzionata documentata;Convenzionate
MOD-018;Villa Von Siebenthal;SRTRe adolescenti;Sì;Convenzionate;Convenzionata documentata;Ereditato V5;Convenzionate;Convenzionata documentata;Convenzionata documentata;Convenzionata documentata;Convenzionate
MOD-019;Villa Maria Pia;STPIT;Sì;STPIT;Convenzionata documentata;STPIT verificato come servizio corrente;STPIT;Convenzionata documentata;Convenzionata documentata;Convenzionata documentata;STPIT
MOD-020;Villa Maria Pia;SRSR H24;Sì;Convenzionate;Convenzionata documentata;Ereditato V5;Convenzionate;Convenzionata documentata;Convenzionata documentata;Convenzionata documentata;Convenzionate
MOD-021;Villa Maria Pia;SRSR H12;Sì;Convenzionate;Convenzionata documentata;Ereditato V5;Convenzionate;Convenzionata documentata;Convenzionata documentata;Convenzionata documentata;Convenzionate
MOD-022;Colle Cesarano;STPIT;Sì;STPIT;Convenzionata documentata;STPIT verificato come servizio corrente;STPIT;Convenzionata documentata;Convenzionata documentata;Convenzionata documentata;STPIT
MOD-023;Colle Cesarano;SRTRi B2;Sì;Convenzionate;Convenzionata documentata;Ereditato V5;Convenzionate;Convenzionata documentata;Convenzionata documentata;Convenzionata documentata;Convenzionate
MOD-024;Colle Cesarano;SRTRe Agorà;Sì;Convenzionate;Convenzionata documentata;Ereditato V5;Convenzionate;Convenzionata documentata;Convenzionata documentata;Convenzionata documentata;Convenzionate
MOD-025;Colle Cesarano;SRSR H12 B3;Sì;Convenzionate;Convenzionata documentata;Ereditato V5;Convenzionate;Convenzionata documentata;Convenzionata documentata;Convenzionata documentata;Convenzionate
MOD-026;Colle Cesarano;SRSR H24 A1;Sì;Convenzionate;Convenzionata documentata;Ereditato V5;Convenzionate;Convenzionata documentata;Convenzionata documentata;Convenzionata documentata;Convenzionate
MOD-027;Colle Cesarano;SRSR H24 A2;Sì;Convenzionate;Convenzionata documentata;Ereditato V5;Convenzionate;Convenzionata documentata;Convenzionata documentata;Convenzionata documentata;Convenzionate
MOD-028;Colle Cesarano;SRSR H24 B4;Sì;Convenzionate;Convenzionata documentata;Ereditato V5;Convenzionate;Convenzionata documentata;Convenzionata documentata;Convenzionata documentata;Convenzionate
MOD-029;Villa Costanza;SRTRe;Sì;Convenzionate;Convenzionata documentata;Ereditato V5;Convenzionate;Convenzionata documentata;Convenzionata documentata;Convenzionata documentata;Convenzionate
MOD-030;Samadi;STPIT;Sì;STPIT;Accreditata: convenzione da comprovare;STPIT verificato come servizio corrente;STPIT;Accreditata: convenzione da comprovare;Accreditata: convenzione da comprovare;Accreditata: convenzione da comprovare;STPIT
MOD-031;Samadi;SRTRi;Sì;Da completare / escluse;Accreditata: convenzione da comprovare;Ereditato V5;Da verificare 2026;Accreditata: convenzione da comprovare;Accreditata: convenzione da comprovare;Accreditata: convenzione da comprovare;Da verificare 2026
MOD-032;Samadi;SRTRe;Sì;Da completare / escluse;Accreditata: convenzione da comprovare;Ereditato V5;Da verificare 2026;Accreditata: convenzione da comprovare;Accreditata: convenzione da comprovare;Accreditata: convenzione da comprovare;Da verificare 2026
MOD-033;Samadi;SRSR H24;Sì;Da completare / escluse;Accreditata: convenzione da comprovare;Ereditato V5;Da verificare 2026;Accreditata: convenzione da comprovare;Accreditata: convenzione da comprovare;Accreditata: convenzione da comprovare;Da verificare 2026
MOD-034;Villa Rosa;STPIT;Sì;STPIT;Accreditata: convenzione da comprovare;STPIT verificato come servizio corrente;STPIT;Accreditata: convenzione da comprovare;Accreditata: convenzione da comprovare;Accreditata: convenzione da comprovare;STPIT
MOD-035;Villa Rosa;SRTRi;Sì;Da completare / escluse;Accreditata: convenzione da comprovare;Ereditato V5;Da verificare 2026;Accreditata: convenzione da comprovare;Accreditata: convenzione da comprovare;Accreditata: convenzione da comprovare;Da verificare 2026
MOD-036;Villa Rosa;SRTRe;Sì;Da completare / escluse;Accreditata: convenzione da comprovare;Ereditato V5;Da verificare 2026;Accreditata: convenzione da comprovare;Accreditata: convenzione da comprovare;Accreditata: convenzione da comprovare;Da verificare 2026
MOD-037;Villa Rosa;SRSR H24;Sì;Da completare / escluse;Accreditata: convenzione da comprovare;Ereditato V5;Da verificare 2026;Accreditata: convenzione da comprovare;Accreditata: convenzione da comprovare;Accreditata: convenzione da comprovare;Da verificare 2026
MOD-038;Abaton / Progetto Insieme Castelforte;SRTRe;Sì;Convenzionate;Convenzionata documentata;Ereditato V5;Convenzionate;Convenzionata documentata;Convenzionata documentata;Convenzionata documentata;Convenzionate
MOD-039;Insieme1 Sole;SRTRe;Sì;Da completare / escluse;Accreditata: convenzione da comprovare;Promossa al catalogo convenzionato V6;Convenzionate;Convenzionata documentata;Convenzionata documentata;Convenzionata documentata;Convenzionate
MOD-040;Insieme1 Luna;SRTRe;Sì;Da completare / escluse;Accreditata: convenzione da comprovare;Promossa al catalogo convenzionato V6;Convenzionate;Convenzionata documentata;Convenzionata documentata;Convenzionata documentata;Convenzionate
MOD-041;Insieme2;SRTRe;Sì;Da completare / escluse;Accreditata: convenzione da comprovare;Promossa al catalogo convenzionato V6;Convenzionate;Convenzionata documentata;Convenzionata documentata;Convenzionata documentata;Convenzionate
MOD-042;Insieme Mongolfiera;SRTRe;Sì;Da completare / escluse;Accreditata: convenzione da comprovare;Promossa al catalogo convenzionato V6;Convenzionate;Convenzionata documentata;Convenzionata documentata;Convenzionata documentata;Convenzionate
MOD-043;Insieme Arcobaleno;SRTRe;Sì;Da completare / escluse;Accreditata: convenzione da comprovare;Promossa al catalogo convenzionato V6;Convenzionate;Convenzionata documentata;Convenzionata documentata;Convenzionata documentata;Convenzionate
MOD-044;Insieme Ausonia;SRTRe;Sì;Da completare / escluse;Accreditata: convenzione da comprovare;Ereditato V5;Da verificare 2026;Accreditata: convenzione da comprovare;Accreditata: convenzione da comprovare;Accreditata: convenzione da comprovare;Da verificare 2026
MOD-045;Insieme Spigno;SRSR H24;Sì;Da completare / escluse;Accreditata: convenzione da comprovare;Promossa al catalogo convenzionato V6;Convenzionate;Convenzionata documentata;Convenzionata documentata;Convenzionata documentata;Convenzionate
MOD-046;Alberto Pezzi;SRSR H24;Sì;Da completare / escluse;Accreditata: convenzione da comprovare;Promossa al catalogo convenzionato V6;Convenzionate;Convenzionata documentata;Convenzionata documentata;Convenzionata documentata;Convenzionate
MOD-047;Redzep Sestovic;SRSR H24;Sì;Da completare / escluse;Accreditata: convenzione da comprovare;Promossa al catalogo convenzionato V6;Convenzionate;Convenzionata documentata;Convenzionata documentata;Convenzionata documentata;Convenzionate
MOD-048;Dianova Palombara Sabina;Comunità terapeutico-riabilitativa;Sì;Convenzionate;Convenzionata documentata;Ereditato V5;Convenzionate;Convenzionata documentata;Convenzionata documentata;Convenzionata documentata;Convenzionate
MOD-049;C. Massimo;Pedagogico-riabilitativa;Sì;Da completare / escluse;Accreditata: convenzione da comprovare;Ereditato V5;Da verificare 2026;Accreditata: convenzione da comprovare;Accreditata: convenzione da comprovare;Accreditata: convenzione da comprovare;Da verificare 2026
MOD-050;In Dialogo — Nuova Era;Comunità residenziale;Sì;Da completare / escluse;Convenzione storica: attualità da comprovare;Ereditato V5;Da verificare 2026;Convenzione storica: attualità da comprovare;Convenzione storica: attualità da comprovare;Convenzione storica: attualità da comprovare;Da verificare 2026
MOD-051;In Dialogo — Il Casale;Comunità residenziale;Sì;Da completare / escluse;Convenzione storica: attualità da comprovare;Ereditato V5;Da verificare 2026;Convenzionata documentata – inserimento/finanziamento pubblico 2026;Convenzionata documentata – inserimento/finanziamento pubblico 2026;Convenzionata documentata – inserimento/finanziamento pubblico 2026;Convenzionate
MOD-052;Exodus Cassino;Comunità residenziale;Sì;Da completare / escluse;Accreditata: convenzione da comprovare;Ereditato V5;Da verificare 2026;Accreditata: convenzione da comprovare;Accreditata: convenzione da comprovare;Accreditata: convenzione da comprovare;Da verificare 2026
MOD-053;Exodus Cassino;Comunità semiresidenziale;Sì;Da completare / escluse;Accreditata: convenzione da comprovare;Ereditato V5;Da verificare 2026;Accreditata: convenzione da comprovare;Accreditata: convenzione da comprovare;Accreditata: convenzione da comprovare;Da verificare 2026
MOD-054;Santa Maria della Quercia;Comunità terapeutica;Sì;Da completare / escluse;Accreditata: convenzione da comprovare;Ereditato V5;Da verificare 2026;Accreditata: convenzione da comprovare;Accreditata: convenzione da comprovare;Accreditata: convenzione da comprovare;Da verificare 2026
MOD-055;Palanzana;Comunità prima fase storica;Sì;Da completare / escluse;Ricollocata / non contata attiva;Ereditato V5;Da verificare 2026;Ricollocata / non contata attiva;Ricollocata / non contata attiva;Ricollocata / non contata attiva;Da verificare 2026
MOD-056;Campus Calisto Felli;Comunità doppia diagnosi;Sì;Da completare / escluse;Solo autorizzazione / prova insufficiente;Ereditato V5;Da verificare 2026;Accreditata: convenzione/contratto 2026 da comprovare;Accreditata: convenzione/contratto 2026 da comprovare;Accreditata: convenzione/contratto 2026 da comprovare;Da verificare 2026
MOD-057;Comunità Ambrosini / PaoloVI;Terapeutico-riabilitativa semiresidenziale;Sì;Da completare / escluse;Accreditata: convenzione da comprovare;Promossa al catalogo convenzionato V6;Convenzionate;Convenzionata documentata;Convenzionata documentata;Convenzionata documentata;Convenzionate
MOD-058;Comunità Santa Maria / Capannelle;Terapeutico-riabilitativa residenziale;Sì;Da completare / escluse;Accreditata: convenzione da comprovare;Promossa al catalogo convenzionato V6;Convenzionate;Convenzionata documentata;Convenzionata documentata;Convenzionata documentata;Convenzionate
MOD-059;San Carlo e Villa Santa Francesca Romana;Pedagogico-riabilitativa residenziale;Sì;Da completare / escluse;Accreditata: convenzione da comprovare;Ereditato V5;Da verificare 2026;Accreditata: convenzione da comprovare;Accreditata: convenzione da comprovare;Accreditata: convenzione da comprovare;Da verificare 2026
MOD-060;L’Approdo;Comunità terapeutica;Sì;Da completare / escluse;Accreditata: convenzione da comprovare;Ereditato V5;Da verificare 2026;Accreditata: convenzione da comprovare;Accreditata: convenzione da comprovare;Accreditata: convenzione da comprovare;Da verificare 2026
MOD-061;Villa Elisa;SRTRe;Sì;Da completare / escluse;Budget: contratto da comprovare;Promossa al catalogo convenzionato V6;Convenzionate;Convenzionata documentata;Convenzionata documentata;Convenzionata documentata;Convenzionate
MOD-062;Villa Letizia — EGO;SRSR H12;Sì;Da completare / escluse;Budget: contratto da comprovare;Promossa al catalogo convenzionato V6;Convenzionate;Convenzionata documentata;Convenzionata documentata;Convenzionata documentata;Convenzionate
