id;nome;asl;tipo;comune;indirizzo;telefono;email;servizi;attribuzione_servizi;accesso;orari;fonte;gestione;verifica;ultima_verifica;note;origine_dato_v7;stato_riesame_v7;nota_temporale_v7;titolarita_v6;esito_v6;fonte_v6;livello_prova_v6;note_v6;origine_record_v7_2;stato_verifica_v7_2;fonte_verifica_v7_2;data_verifica_v7_2;note_v7_2
NET-026;Centro Diurno Brisse;R3;Centro diurno;Roma;Via Alessandro Brisse, 20;06 56484603;;Programmi socio-riabilitativi individualizzati, autonomie e inclusione socio-lavorativa;Dato rete estesa V4;Su invio CSM e progetto riabilitativo;Lun-ven 08:00-15:00;https://www.aslroma3.it/dipartimenti/dipartimento-di-salute-mentale/uoc-salute-mentale-distretto-sanitario-municipio-xi/;Pubblica: centro diurno della UOC Salute Mentale ASL Roma 3;Ricontrollata nella V7.2;2026-09-20;"Inserimento tramite progetto del CSM; non elenco di comunità private convenzionate.";Rete_ASL_V6;Stato da leggere nella colonna 'verifica';Nessuna nuova verifica esterna effettuata nella V7 strutturale.;;;;;;Rete ASL V7.1;Confermata su pagina ASL corrente;https://www.aslroma3.it/dipartimenti/dipartimento-di-salute-mentale/uoc-salute-mentale-distretto-sanitario-municipio-xi/;2026-09-20;
NET-027;Centro Diurno Mazzacurati;R3;Centro diurno;Roma;Via Marino Mazzacurati, 23;06 56485707;;Programmi socio-riabilitativi individualizzati, autonomie e inclusione socio-lavorativa;Dato rete estesa V4;Su invio CSM e progetto riabilitativo;"Lun/mer/gio/ven 08:00-15:00; mar 08:00-18:00";https://www.aslroma3.it/dipartimenti/dipartimento-di-salute-mentale/uoc-salute-mentale-distretto-sanitario-municipio-xi/;Pubblica: centro diurno della UOC Salute Mentale ASL Roma 3;Ricontrollata nella V7.2;2026-09-20;"Inserimento tramite progetto del CSM; non elenco di comunità private convenzionate.";Rete_ASL_V6;Stato da leggere nella colonna 'verifica';Nessuna nuova verifica esterna effettuata nella V7 strutturale.;;;;;;Rete ASL V7.1;Confermata nella rete DSM corrente;https://www.aslroma3.it/dipartimenti/dipartimento-di-salute-mentale/uoc-salute-mentale-xi-e-xii-municipio/;2026-09-20;
NET-028;Centro Diurno Tagaste;R3;Centro diurno;Roma;Via Tagaste, 6;06 56483301;;Programmi socio-riabilitativi individualizzati, autonomie e inclusione socio-lavorativa;Dato rete estesa V4;Su invio CSM e progetto riabilitativo;"Lun/mer 08:00-18:00; mar/gio 08:00-19:30; ven 08:00-15:00";https://www.aslroma3.it/dipartimenti/dipartimento-di-salute-mentale/uoc-salute-mentale-distretto-sanitario-municipio-x/;Pubblica: centro diurno della UOC Salute Mentale ASL Roma 3;Ricontrollata nella V7.2;2026-09-20;"Inserimento tramite progetto del CSM; non elenco di comunità private convenzionate.";Rete_ASL_V6;Stato da leggere nella colonna 'verifica';Nessuna nuova verifica esterna effettuata nella V7 strutturale.;;;;;;Rete ASL V7.1;Confermata nella rete DSM corrente;https://www.aslroma3.it/dipartimenti/dipartimento-di-salute-mentale/uoc-salute-mentale-municipio-x-e-comune-di-fiumicino/;2026-09-20;
NET-029;Centro Diurno Acilia;R3;Centro diurno;Roma;Via del Poggio di Acilia, 62;06 56483592;;Programmi socio-riabilitativi individualizzati, autonomie e inclusione socio-lavorativa;Dato rete estesa V4;Su invio CSM e progetto riabilitativo;"Lun/mer 08:00-16:00; mar 08:00-19:30; gio 08:00-14:00; ven 08:00-18:00";https://www.aslroma3.it/dipartimenti/dipartimento-di-salute-mentale/uoc-salute-mentale-distretto-sanitario-municipio-x/;Pubblica: centro diurno della UOC Salute Mentale ASL Roma 3;Ricontrollata nella V7.2;2026-09-20;"Inserimento tramite progetto del CSM; non elenco di comunità private convenzionate.";Rete_ASL_V6;Stato da leggere nella colonna 'verifica';Nessuna nuova verifica esterna effettuata nella V7 strutturale.;;;;;;Rete ASL V7.1;Confermata nella rete DSM corrente;https://www.aslroma3.it/dipartimenti/dipartimento-di-salute-mentale/uoc-salute-mentale-municipio-x-e-comune-di-fiumicino/;2026-09-20;
NET-030;Centro Diurno Monteverde;R3;Centro diurno;Roma;Via Crescenzo dal Monte, 13;06 56486501 / 6505;;Programmi socio-riabilitativi individualizzati, autonomie e inclusione socio-lavorativa;Dato rete estesa V4;Su invio CSM e progetto riabilitativo;Lun-ven 08:00-18:00;https://www.aslroma3.it/dipartimenti/dipartimento-di-salute-mentale/uoc-salute-mentale-distretto-sanitario-municipio-xii/;Pubblica: centro diurno della UOC Salute Mentale ASL Roma 3;Ricontrollata nella V7.2;2026-09-20;"Inserimento tramite progetto del CSM; non elenco di comunità private convenzionate.";Rete_ASL_V6;Stato da leggere nella colonna 'verifica';Nessuna nuova verifica esterna effettuata nella V7 strutturale.;;;;;;Rete ASL V7.1;Confermata nella rete DSM corrente;https://www.aslroma3.it/dipartimenti/dipartimento-di-salute-mentale/uoc-salute-mentale-xi-e-xii-municipio/;2026-09-20;
NET-031;Centro Diurno Cantiere 24;R3;Centro diurno;Roma;Via Arturo Colautti, 28;06 56486461;;Programmi socio-riabilitativi individualizzati, autonomie e inclusione socio-lavorativa;Dato rete estesa V4;Su invio CSM e progetto riabilitativo;Lun-ven 08:00-18:00;https://www.aslroma3.it/dipartimenti/dipartimento-di-salute-mentale/uoc-salute-mentale-distretto-sanitario-municipio-xii/;Pubblica: centro diurno della UOC Salute Mentale ASL Roma 3;Ricontrollata nella V7.2;2026-09-20;"Inserimento tramite progetto del CSM; non elenco di comunità private convenzionate.";Rete_ASL_V6;Stato da leggere nella colonna 'verifica';Nessuna nuova verifica esterna effettuata nella V7 strutturale.;;;;;;Rete ASL V7.1;Confermata nella rete DSM corrente;https://www.aslroma3.it/dipartimenti/dipartimento-di-salute-mentale/uoc-salute-mentale-municipio-x-e-comune-di-fiumicino/;2026-09-20;
NET-034;Centro Diurno Riabilitativo Distretto 1;R4;Centro diurno;Civitavecchia;Via Toscana, 25;06 96669748 / 0766 22727;;Riabilitazione psicosociale e inclusione;Dato rete estesa V4;Su progetto terapeutico DSM;"Lun-ven 08:00-20:00; sab 08:00-14:00";https://www.aslroma4.it/azienda/dipartimenti/dipartimento-di-salute-mentale;Pubblica: articolazione DSM / UOSD residenziale e semiresidenziale ASL Roma 4;Ricontrollata nella V7.2;2026-09-20;Distinta dalle comunità convenzionate esterne. L’afferenza ASL non attesta che tutto il personale sia dipendente diretto.;Rete_ASL_V6;Stato da leggere nella colonna 'verifica';Nessuna nuova verifica esterna effettuata nella V7 strutturale.;;;;;;Rete ASL V7.1;Confermata su pagina ASL corrente;https://www.aslroma4.it/strutture-sanitarie/strutture-di-salute-mentale;2026-09-20;
NET-035;Centro Diurno Riabilitativo Distretto 2;R4;Centro diurno;Ladispoli;Viale Mediterraneo, 35;06 96669985/6;;Riabilitazione psicosociale e inclusione;Dato rete estesa V4;Su progetto terapeutico DSM;"Lun/ven 08:00-14:00; mar-mer-gio 08:00-17:30";https://www.aslroma4.it/azienda/dipartimenti/dipartimento-di-salute-mentale;Pubblica: articolazione DSM / UOSD residenziale e semiresidenziale ASL Roma 4;Ricontrollata nella V7.2;2026-09-20;Distinta dalle comunità convenzionate esterne. L’afferenza ASL non attesta che tutto il personale sia dipendente diretto.;Rete_ASL_V6;Stato da leggere nella colonna 'verifica';Nessuna nuova verifica esterna effettuata nella V7 strutturale.;;;;;;Rete ASL V7.1;Confermata su pagina ASL corrente;https://www.aslroma4.it/strutture-sanitarie/strutture-di-salute-mentale;2026-09-20;
NET-036;Centro Diurno Riabilitativo Distretto 3;R4;Centro diurno;Bracciano;Via Trento, 18;06 96669211 / 209 / 212;;Riabilitazione psicosociale e inclusione;Dato rete estesa V4;Su progetto terapeutico DSM;"Lun-gio 08:00-17:30; ven 08:00-14:00";https://www.aslroma4.it/azienda/dipartimenti/dipartimento-di-salute-mentale;Pubblica: articolazione DSM / UOSD residenziale e semiresidenziale ASL Roma 4;Ricontrollata nella V7.2;2026-09-20;Distinta dalle comunità convenzionate esterne. L’afferenza ASL non attesta che tutto il personale sia dipendente diretto.;Rete_ASL_V6;Stato da leggere nella colonna 'verifica';Nessuna nuova verifica esterna effettuata nella V7 strutturale.;;;;;;Rete ASL V7.1;Confermata su pagina ASL corrente;https://www.aslroma4.it/strutture-sanitarie/strutture-di-salute-mentale;2026-09-20;
NET-037;Centro Diurno Riabilitativo Distretto 4;R4;Centro diurno;Campagnano di Roma;Via B. Lesen, 9-11;06 96669248;;Riabilitazione psicosociale e inclusione;Dato rete estesa V4;Su progetto terapeutico DSM;"Lun/gio 08:00-17:30; mar/mer/ven 08:00-14:00";https://www.aslroma4.it/azienda/dipartimenti/dipartimento-di-salute-mentale;Pubblica: articolazione DSM / UOSD residenziale e semiresidenziale ASL Roma 4;Ricontrollata nella V7.2;2026-09-20;Distinta dalle comunità convenzionate esterne. L’afferenza ASL non attesta che tutto il personale sia dipendente diretto.;Rete_ASL_V6;Stato da leggere nella colonna 'verifica';Nessuna nuova verifica esterna effettuata nella V7 strutturale.;;;;;;Rete ASL V7.1;Confermata su pagina ASL corrente;https://www.aslroma4.it/strutture-sanitarie/strutture-di-salute-mentale;2026-09-20;
NET-038;SRTRe Il Melograno;R4;Residenziale;Bracciano;;;;Trattamento residenziale terapeutico-riabilitativo estensivo;Dato rete estesa V4;Su invio/progetto DSM;;https://www.aslroma4.it/azienda/dipartimenti/dipartimento-di-salute-mentale;Pubblica: articolazione DSM / UOSD residenziale e semiresidenziale ASL Roma 4;Ricontrollata nella V7.2;2026-09-20;Distinta dalle comunità convenzionate esterne. L’afferenza ASL non attesta che tutto il personale sia dipendente diretto.;Rete_ASL_V6;Stato da leggere nella colonna 'verifica';Nessuna nuova verifica esterna effettuata nella V7 strutturale.;;;;;;Rete ASL V7.1;Confermata su pagina ASL corrente;https://www.aslroma4.it/strutture-sanitarie/strutture-di-salute-mentale;2026-09-20;
NET-010;Centro Diurno Forte Antenne;ASL Roma 1;Centro diurno;Roma;Via del Forte Antenne;;;Riabilitazione psicosociale / residenzialità secondo progetto terapeutico;Dato rete estesa V4;Su progetto/invio servizi territoriali;;https://www.aslroma1.it/presidi-territoriali/Distretto%202/lista_presidi;Titolarità non ancora consolidata;Revisione titolarità richiesta;2026-09-20;La presenza in una pagina ASL non prova gestione diretta della struttura.;;;;Pubblica / struttura aziendale ASL;Risolta;https://www.aslroma1.it/;"Fonte istituzionale ASL/Regione; collocazione nell'organizzazione aziendale";"Pagine ASL e contatti aziendali; Forte Antenne ha anche indicazione esplicita di gestione diretta ASL.";Pubblica ricontrollata V7.1;Già ricontrollata prima della V7.2;https://www.aslroma1.it/presidi-territoriali/Distretto%202/lista_presidi;2026-09-20;
NET-011;Centro Diurno Boemondo;ASL Roma 1;Centro diurno;Roma;Via Boemondo, 21;;;Riabilitazione psicosociale / residenzialità secondo progetto terapeutico;Dato rete estesa V4;Su progetto/invio servizi territoriali;;https://www.aslroma1.it/presidi-territoriali/Distretto%202/lista_presidi;Titolarità non ancora consolidata;Revisione titolarità richiesta;2026-09-20;La presenza in una pagina ASL non prova gestione diretta della struttura.;;;;Pubblica / struttura aziendale ASL;Risolta;https://www.aslroma1.it/;"Fonte istituzionale ASL/Regione; collocazione nell'organizzazione aziendale";"Pagine ASL e contatti aziendali; Forte Antenne ha anche indicazione esplicita di gestione diretta ASL.";Pubblica ricontrollata V7.1;Già ricontrollata prima della V7.2;https://www.aslroma1.it/presidi-territoriali/Distretto%202/lista_presidi;2026-09-20;
NET-012;Centro Diurno Gasparri;ASL Roma 1;Centro diurno;Roma;Via Pietro Gasparri, 23;;;Riabilitazione psicosociale / residenzialità secondo progetto terapeutico;Dato rete estesa V4;Su progetto/invio servizi territoriali;;https://www.aslroma1.it/presidi-territoriali/Distretto%2014/lista_presidi;Titolarità non ancora consolidata;Revisione titolarità richiesta;2026-09-20;La presenza in una pagina ASL non prova gestione diretta della struttura.;;;;Pubblica / struttura aziendale ASL;Risolta;https://www.aslroma1.it/;"Fonte istituzionale ASL/Regione; collocazione nell'organizzazione aziendale";"Pagine ASL e contatti aziendali; Forte Antenne ha anche indicazione esplicita di gestione diretta ASL.";Pubblica ricontrollata V7.1;Già ricontrollata prima della V7.2;https://www.aslroma1.it/presidi-territoriali/Distretto%2014/lista_presidi;2026-09-20;
NET-013;Centro Diurno Borromeo;ASL Roma 1;Centro diurno;Roma;Via Federico Borromeo, 67;;;Riabilitazione psicosociale / residenzialità secondo progetto terapeutico;Dato rete estesa V4;Su progetto/invio servizi territoriali;;https://www.aslroma1.it/presidi-territoriali/Distretto%2014/lista_presidi;Titolarità non ancora consolidata;Revisione titolarità richiesta;2026-09-20;La presenza in una pagina ASL non prova gestione diretta della struttura.;;;;Pubblica / struttura aziendale ASL;Risolta;https://www.aslroma1.it/;"Fonte istituzionale ASL/Regione; collocazione nell'organizzazione aziendale";"Pagine ASL e contatti aziendali; Forte Antenne ha anche indicazione esplicita di gestione diretta ASL.";Pubblica ricontrollata V7.1;Già ricontrollata prima della V7.2;https://www.aslroma1.it/presidi-territoriali/Distretto%2014/lista_presidi;2026-09-20;
NET-014;SRTRe Sabrata;ASL Roma 1;Residenziale;Roma;Via Sabrata, 12;;;Riabilitazione psicosociale / residenzialità secondo progetto terapeutico;Dato rete estesa V4;Su progetto/invio servizi territoriali;;https://www.aslroma1.it/presidi-territoriali/Distretto%202/lista_presidi;Titolarità non ancora consolidata;Revisione titolarità richiesta;2026-09-20;La presenza in una pagina ASL non prova gestione diretta della struttura.;;;;Pubblica / struttura aziendale ASL;Risolta;https://www.aslroma1.it/;"Fonte istituzionale ASL/Regione; collocazione nell'organizzazione aziendale";"Pagine ASL e contatti aziendali; Forte Antenne ha anche indicazione esplicita di gestione diretta ASL.";Pubblica ricontrollata V7.1;Già ricontrollata prima della V7.2;https://www.aslroma1.it/presidi-territoriali/Distretto%202/lista_presidi;2026-09-20;
NET-015;SRSR Nomentana;ASL Roma 1;Residenziale;Roma;Via Nomentana, 54;;;Riabilitazione psicosociale / residenzialità secondo progetto terapeutico;Dato rete estesa V4;Su progetto/invio servizi territoriali;;https://www.aslroma1.it/presidi-territoriali/Distretto%202/lista_presidi;Titolarità non ancora consolidata;Revisione titolarità richiesta;2026-09-20;La presenza in una pagina ASL non prova gestione diretta della struttura.;;;;Pubblica / struttura aziendale ASL;Risolta;https://www.aslroma1.it/;"Fonte istituzionale ASL/Regione; collocazione nell'organizzazione aziendale";"Pagine ASL e contatti aziendali; Forte Antenne ha anche indicazione esplicita di gestione diretta ASL.";Pubblica ricontrollata V7.1;Già ricontrollata prima della V7.2;https://www.aslroma1.it/presidi-territoriali/Distretto%202/lista_presidi;2026-09-20;
NET-016;SRTRe Casal Piombino PIPSM;ASL Roma 1;Residenziale;Roma;Via del Casale Piombino, 30;;;Riabilitazione psicosociale / residenzialità secondo progetto terapeutico;Dato rete estesa V4;Su progetto/invio servizi territoriali;;https://www.aslroma1.it/presidi-territoriali/Distretto%2014/lista_presidi;Titolarità non ancora consolidata;Revisione titolarità richiesta;2026-09-20;La presenza in una pagina ASL non prova gestione diretta della struttura.;;;;Pubblica / struttura aziendale ASL;Risolta;https://www.aslroma1.it/;"Fonte istituzionale ASL/Regione; collocazione nell'organizzazione aziendale";"Pagine ASL e contatti aziendali; Forte Antenne ha anche indicazione esplicita di gestione diretta ASL.";Pubblica ricontrollata V7.1;Già ricontrollata prima della V7.2;https://www.aslroma1.it/presidi-territoriali/Distretto%2014/lista_presidi;2026-09-20;
