id;universita;servizio;tipologia;destinatari;utenza;gratuita_costo;limite_incontri;modalita;sede;telefono;email;prenotazione;criteri_accesso;periodo_validita;fonte_ufficiale;ultima_verifica;stato_verifica
UNI-001;Sapienza Università di Roma;Centro Counselling Psicologico per studentesse e studenti;Counselling psicologico breve;"Studenti dei corsi di laurea e dottorato; assegnisti secondo i criteri pubblicati";studenti;Gratuito;4 colloqui e follow-up a 3 mesi;"In presenza; online per formazione all'estero o sedi decentrate secondo i criteri pubblicati";Piazzale Aldo Moro 5, edificio CU002, piano terra, Roma;Non documentato;centrocounselling.psicologico@uniroma1.it;Richiesta tramite il contatto ufficiale del Centro;"Componente studentesca secondo i criteri pubblicati; non è un servizio di emergenza";Servizio corrente;https://www.uniroma1.it/it/pagina/centro-counselling-psicologico-le-studentesse-e-gli-studenti;2026-09-21;Verificato
UNI-002;Sapienza Università di Roma;Hub dei Servizi di Counselling;Prima accoglienza e orientamento;Comunità accademica;"studenti; docenti; personale";Non specificato nella pagina consultata;Non specificato per l'Hub;Contatto email e accesso alla sede indicata;Piazzale Aldo Moro 5, edificio CU002, piano terra, Roma;Non documentato;servizi.counselling@uniroma1.it;Email all'Hub;"Comunità accademica; analisi della domanda ed eventuale invio";Servizio corrente;https://www.uniroma1.it/it/pagina/counselling-psicologico;2026-09-21;Verificato
UNI-003;Sapienza Università di Roma;Counselling per il personale;Counselling psicologico per personale;Personale docente e tecnico-amministrativo-bibliotecario secondo le categorie indicate dall'Ateneo;"docenti; personale";Non documentato;Non documentato;Da verificare con il servizio;Roma;Non documentato;sportellopsi.benessere@uniroma1.it;Email;Personale Sapienza secondo le categorie del servizio;Servizio corrente;https://www.uniroma1.it/it/pagina/counselling-psicologico;2026-09-21;"Verificato; dettagli operativi da completare"
UNI-004;Università degli Studi di Roma Tor Vergata;Sportello PTV per studenti e studentesse;Valutazione e ascolto psicologico;Tutti gli studenti e le studentesse di Tor Vergata;studenti;Gratuito;Non documentato;Da confermare in prenotazione;Policlinico Tor Vergata / sede comunicata in appuntamento;Non documentato;sportellostudenti@uniroma2.it;Email con recapito telefonico e richiesta di appuntamento;Studenti Tor Vergata;"Pagina modificata 17/12/2025; servizio confermato da attività PRO-BEN 2026";https://web.uniroma2.it/contenuto/sportello-ptv-per-studenti-e-studentesse;2026-09-21;Verificato
UNI-005;Università degli Studi di Roma Tor Vergata;Counselling psicologico per il personale dell'Ateneo;Counselling per personale;Personale dell'Ateneo;"docenti; personale";Non documentato;Non documentato;Non documentato;Roma;Non documentato;Non documentato nella ricognizione;Vedere la pagina ufficiale degli sportelli;Personale di Ateneo;"Servizio elencato tra gli sportelli ufficiali; pagina aggiornata 06/08/2025";https://web.uniroma2.it/it/percorso/ricerca/sezione/sportelli;2026-09-21;"Servizio verificato; dati operativi da completare"
UNI-006;Università degli Studi Roma Tre;Servizio di Supporto Psicologico;Supporto psicologico individuale e percorsi di gruppo;Studentesse e studenti;studenti;Gratuito;"3 colloqui iniziali e questionari; possibili gruppi o psicoterapie brevi a termine";In presenza;Via Ostiense 159, Roma;Non documentato;servizio.supporto.psicologico@uniroma3.it;"Strumento di prenotazione dedicato; email istituzionale richiesta";"Studenti; non effettua visite psichiatriche, prescrizioni o pronto intervento";Attività ripresa il 15/09/2026;https://www.uniroma3.it/servizi/servizi-agli-studenti/benessere-psicologico/supporto-psicologico/;2026-09-21;Verificato 2026
UNI-007;LUISS Guido Carli;Luiss ti ascolta;Accoglienza e consulenza psicologica;Studentesse, studenti e neolaureati;"studenti; neolaureati";Gratuito;Non documentato;"In presenza; online via Skype se impossibilitati a recarsi in sede";Viale Pola, Roma;+39 340 51 35 054;luisstiascolta@luiss.it;Email, telefono o form ufficiale;Studenti e neolaureati LUISS;"Servizio corrente; iniziative PRO-BEN 2026";https://www.luiss.it/it/ateneo/luiss-life/servizi-e-opportunita/luiss-ti-ascolta;2026-09-21;Verificato
UNI-008;LUMSA;Servizio di consulenza psicologica;Consulenza psicologica breve;Comunità studentesca secondo le condizioni del servizio;studenti;Gratuito;Fino a 7 incontri;Da verificare con il servizio;Roma;Non documentato;"Contatto via email indicato dal servizio; indirizzo da verificare sulla pagina corrente";Via email secondo la documentazione di Ateneo;Da verificare sulla pagina/ufficio competente;"Servizio presente nei servizi di Ateneo; documentazione istituzionale aggiornata nel 2026";https://lumsa.it/it/servizio-di-consulenza-psicologica;2026-09-21;"Verificato; contatto puntuale da completare"
UNI-009;Università Campus Bio-Medico di Roma;Counseling Service;Counselling psicologico;Studenti, specializzandi e dottorandi;"studenti; specializzandi; dottorandi";Gratuito;Fino a 10 incontri individuali;In presenza;Università Campus Bio-Medico di Roma;Non documentato;"Contatti dei professionisti pubblicati nella pagina; prenotazione via dashboard";Dashboard e-learning > Individual Counseling;Non è assistenza psichiatrica e non è un servizio per emergenze/crisi acute;Servizio corrente;https://www.unicampus.it/en/servizi/counseling/;2026-09-21;Verificato
UNI-010;UniCamillus;Sportello di Ascolto e Counseling;Ascolto e counselling;Studenti UniCamillus;studenti;Non documentato nella pagina pubblica consultata;Non documentato;In presenza secondo gli slot pubblicati;Via di Sant'Alessandro 8, Roma;+39 06 400640;Indirizzo protetto/obfuscato nella pagina;"Procedura di prenotazione indicata nell'area studenti/WebApp; verificare lo slot corrente";Studenti dell'Ateneo;Pagina e slot correnti nel 2026;https://unicamillus.org/studenti/sportello-ascolto-e-counseling/;2026-09-21;"Verificato; gratuità da confermare"
UNI-011;UNINT – Università degli Studi Internazionali di Roma;UNINT COUNSEL;Sportello di ascolto / counselling psicologico;"Studenti dei corsi di laurea e dottorato; assegnisti di ricerca";"studenti; dottorandi; assegnisti";Non documentato come tariffa nella pagina consultata;Da 1 a 4 colloqui;In presenza;Via Cristoforo Colombo 200, Roma;"+39 06 510 777 209 (contatto istituzionale; orario specifico da verificare)";drc@unint.eu;Email con nome/cognome e preferenza di appuntamento;"Prima accoglienza; non sostituisce un trattamento prolungato";Servizio corrente;https://www.unint.eu/campus-e-servizi/sportello-di-ascolto/;2026-09-21;Verificato
UNI-012;Università degli Studi LINK;Servizio di supporto psicologico di Ateneo – WAVE Pro-ben;Ascolto e supporto psicologico;Studenti iscritti a laurea, specializzazione e dottorato;"studenti; specializzandi; dottorandi";Gratuito;Non documentato;In presenza;Via del Casale di San Pio V 44, Roma;+39 06 3400 6000 (centralino);supportopsicologico@unilink.it;Email o calendario indicato dalla pagina ufficiale;Su appuntamento;Servizio corrente 2026;https://www.unilink.it/studenti/servizi-agli-studenti/servizio-di-supporto-psicologico-di-ateneo;2026-09-21;Verificato
UNI-013;Università degli Studi Guglielmo Marconi;Parla con noi – Servizio di Counseling Psicologico;Counselling psicologico breve;Studentesse e studenti iscritti;studenti;Gratuito;1 colloquio preliminare + 3 colloqui quindicinali + follow-up a 2 mesi;Online su Google Meet;Online;+39 06 377251 (centralino Ateneo);Accesso dalla piattaforma MyUnimarconi;MyUnimarconi > Servizi > Parla con Noi;Studenti iscritti;Servizio corrente nel 2026;https://www.unimarconi.it/parla-con-noi-servizio-di-counseling-psicologico/;2026-09-21;Verificato
UNI-014;Università degli Studi della Tuscia;Servizio di consulenza psicologica;Consulenza psicologica breve;"Studenti; la documentazione di Ateneo distingue anche percorsi dedicati al personale";"studenti; personale";Gratuito;"4 colloqui: accoglienza e 3 successivi; rinnovo secondo i criteri del servizio";In presenza o a distanza (telefonica, telematica o videochiamata);"Viterbo; sede operativa da confermare in prenotazione";Non documentato;consulenzapsicologica@unitus.it;Email / moduli indicati dall'Ateneo;Studenti e categorie previste dai moduli del servizio;Servizio corrente;https://www.unitus.it/terza-missione/inclusione-sociale-e-sostenibilita/;2026-09-21;Verificato
UNI-015;Università Niccolò Cusano – Unicusano;Servizio di counseling psicologico / sportello di ascolto;Counselling psicologico;Studenti dell'Ateneo;studenti;Non documentato;Non documentato;Non documentato;Roma / modalità da verificare;Non documentato;Non documentato;Da verificare con l'Ateneo;Riservato agli studenti;"Servizio attivo documentato dalla relazione annuale 2025; dati operativi 2026 non pubblicamente consolidati";https://www.unicusano.it/wp-content/uploads/Documenti/nucleo_valutazione/2025.10.27_relazione_annuale.pdf;2026-09-21;"Servizio verificato; accesso da completare"
UNI-016;John Cabot University;Counseling Center;Counselling breve e accesso a psichiatria;Studenti JCU;studenti;Incluso nella retta del campus di Roma;"Counselling individuale a breve termine; numero non documentato";"In presenza; telehealth quando necessario secondo la pagina";Via della Lungara 233, Roma / sedi campus indicate dal servizio;+39 06 6819121 (Ateneo);counseling@johncabot.edu;"MyJCU/JCU Rome App; primo intake con link Calendly";"Studenti JCU; psichiatria prenotata separatamente";Servizio corrente;https://www.johncabot.edu/counseling-and-mental-health/;2026-09-21;Verificato
UNI-017;The American University of Rome;Counseling Services;Counselling confidenziale;Studenti AUR;studenti;Non documentato nella pagina corrente consultata;Non documentato;Da verificare;Roma;Non documentato nella pagina corrente;Non documentato nella pagina corrente;Tramite Student Life / modalità correnti da verificare;Studenti AUR;"FAQ corrente conferma servizi di counselling e programmi di wellbeing; dettagli logistici storici non riportati come attuali";https://aur.edu/frequently-asked-questions-about-studying-american-university-rome-aur;2026-09-21;"Servizio verificato; contatti e condizioni da confermare"
