"dataset";"record_id";"nome";"campo";"precedente";"valore_v7_6";"data_riesame";"stato_riesame";"fonti";"metodi";"nota"
"rete";"R1-02";"CSM Plinio";"telefono";"0660105840";"06 6010 5840";"2026-09-21";"riesame_parziale";"https://www.aslroma1.it/salute-mentale | https://www.aslroma1.it/presidi-territoriali/centro-di-salute-mentale-plinio";"pagina_ufficiale | pagina_ufficiale";"Contatti e orari riscontrati; altre informazioni del record non riesaminate. Eventuali calendari alternati non sono proiettati automaticamente al 2026/27."
"rete";"R1-02";"CSM Plinio";"orari";"Lun–mar 08–20; mer–ven 08–14; ven pomeriggio e sab alternanza con Palestro";"Lun e mar 08–20; mer–ven 08–14; ven pomeriggio e sab mattina in alternanza con Palestro. Chiusura nei pomeriggi prefestivi.";"2026-09-21";"riesame_parziale";"https://www.aslroma1.it/salute-mentale | https://www.aslroma1.it/presidi-territoriali/centro-di-salute-mentale-plinio";"pagina_ufficiale | pagina_ufficiale";"Contatti e orari riscontrati; altre informazioni del record non riesaminate. Eventuali calendari alternati non sono proiettati automaticamente al 2026/27."
"rete";"R1-03";"CSM Palestro";"telefono";"0660106050";"06 6010 6050";"2026-09-21";"riesame_parziale";"https://www.aslroma1.it/salute-mentale";"pagina_ufficiale";"Contatti e orari riscontrati; altre informazioni del record non riesaminate. Eventuali calendari alternati non sono proiettati automaticamente al 2026/27."
"rete";"R1-03";"CSM Palestro";"orari";"Lun–mar e ven 08–14; mer–gio 08–20; ven pomeriggio e sab alternanza con Plinio";"Lun, mar, ven 08–14; mer e gio 08–20; ven pomeriggio e sab mattina in alternanza con Plinio.";"2026-09-21";"riesame_parziale";"https://www.aslroma1.it/salute-mentale";"pagina_ufficiale";"Contatti e orari riscontrati; altre informazioni del record non riesaminate. Eventuali calendari alternati non sono proiettati automaticamente al 2026/27."
"rete";"R1-04";"CSM Sabrata";"telefono";"0660105919";"06 6010 5919";"2026-09-21";"riesame_parziale";"https://www.aslroma1.it/salute-mentale";"pagina_ufficiale";"Contatti e orari riscontrati; altre informazioni del record non riesaminate. Eventuali calendari alternati non sono proiettati automaticamente al 2026/27."
"rete";"R1-04";"CSM Sabrata";"orari";"Lun–ven 08:00–20:00; sab e prefestivi 08:00–14:00";"Lun–ven 08–20; sab 08–14.";"2026-09-21";"riesame_parziale";"https://www.aslroma1.it/salute-mentale";"pagina_ufficiale";"Contatti e orari riscontrati; altre informazioni del record non riesaminate. Eventuali calendari alternati non sono proiettati automaticamente al 2026/27."
"rete";"R1-05";"Presidio Boemondo";"telefono";"0660106030";"06 6010 6030";"2026-09-21";"riesame_parziale";"https://www.aslroma1.it/salute-mentale";"pagina_ufficiale";"Contatti e orari riscontrati; altre informazioni del record non riesaminate. Eventuali calendari alternati non sono proiettati automaticamente al 2026/27."
"rete";"R1-05";"Presidio Boemondo";"orari";"Lun–ven 08:00–14:30; Polo ADHD adulti: mar 08:00–14:00 su appuntamento";"Lun–ven 08–15.";"2026-09-21";"riesame_parziale";"https://www.aslroma1.it/salute-mentale";"pagina_ufficiale";"Contatti e orari riscontrati; altre informazioni del record non riesaminate. Eventuali calendari alternati non sono proiettati automaticamente al 2026/27."
"rete";"R1-06";"CSM Monte Tomatico";"telefono";"0660105291 / 0660105292";"06 6010 5291 / 06 6010 5292";"2026-09-21";"riesame_parziale";"https://www.aslroma1.it/salute-mentale";"pagina_ufficiale";"Contatti e orari riscontrati; altre informazioni del record non riesaminate. Eventuali calendari alternati non sono proiettati automaticamente al 2026/27."
"rete";"R1-06";"CSM Monte Tomatico";"orari";"Mattine feriali 08–14; rientri e sabati secondo calendario alternato, da confermare";"Lun–ven 08–14; lun e mer anche 14–20. Alternanza con Farulli il ven pomeriggio e sab mattina: calendario da confermare.";"2026-09-21";"riesame_parziale";"https://www.aslroma1.it/salute-mentale";"pagina_ufficiale";"Contatti e orari riscontrati; altre informazioni del record non riesaminate. Eventuali calendari alternati non sono proiettati automaticamente al 2026/27."
"rete";"R1-07";"CSM Farulli";"telefono";"0660105624";"06 6010 5624";"2026-09-21";"riesame_parziale";"https://www.aslroma1.it/salute-mentale";"pagina_ufficiale";"Contatti e orari riscontrati; altre informazioni del record non riesaminate. Eventuali calendari alternati non sono proiettati automaticamente al 2026/27."
