id;asl;struttura;tipo;azione;fonte;evidenza;note
PUB72-R1-001;ASL Roma 1;Centro Diurno Palestro;Centro diurno;AGGIUNTA V7.2;https://www.aslroma1.it/presidi-territoriali/Distretto%201/lista_presidi;Confermata su fonte ASL corrente;
PUB72-R1-002;ASL Roma 1;Centro Diurno Plinio P.I.P.S.M. Polo Ovest;Centro diurno;AGGIUNTA V7.2;https://www.aslroma1.it/presidi-territoriali/Distretto%201/lista_presidi;Confermata su fonte ASL corrente;
PUB72-R1-003;ASL Roma 1;Centro Diurno Via Sabotino;Centro diurno;AGGIUNTA V7.2;https://www.aslroma1.it/presidi-territoriali/Distretto%201/lista_presidi;Confermata su fonte ASL corrente;
PUB72-R1-004;ASL Roma 1;Gruppo Appartamento Baccina;SRSR / gruppo appartamento;AGGIUNTA V7.2;https://www.aslroma1.it/presidi-territoriali/Distretto%201/lista_presidi;Confermata su fonte ASL corrente;Posti documentati: 10. 
PUB72-R1-005;ASL Roma 1;Gruppo Appartamento Bramante;SRSR / gruppo appartamento;AGGIUNTA V7.2;https://www.aslroma1.it/presidi-territoriali/Distretto%201/lista_presidi;Confermata su fonte ASL corrente;
PUB72-R1-006;ASL Roma 1;Gruppo Appartamento Milizie;SRSR / gruppo appartamento;AGGIUNTA V7.2;https://www.aslroma1.it/presidi-territoriali/Distretto%201/lista_presidi;Confermata su fonte ASL corrente;
PUB72-R1-007;ASL Roma 1;Gruppo Appartamento P.I.P.S.M. Oslavia;SRSR / gruppo appartamento;AGGIUNTA V7.2;https://www.aslroma1.it/presidi-territoriali/Distretto%201/lista_presidi;Confermata su fonte ASL corrente;
PUB72-R1-008;ASL Roma 1;SRSR Via Giacomo Della Porta;SRSR;AGGIUNTA V7.2;https://www.aslroma1.it/presidi-territoriali/Distretto%201/lista_presidi;Confermata su fonte ASL corrente;
PUB72-R1-009;ASL Roma 1;SRTRe P.I.P.S.M. Ripa Grande;SRTRe;AGGIUNTA V7.2;https://www.aslroma1.it/presidi-territoriali/Distretto%201/lista_presidi;Confermata su fonte ASL corrente;
PUB72-R1-010;ASL Roma 1;SRTRe Piatti;SRTRe;AGGIUNTA V7.2;https://www.aslroma1.it/presidi-territoriali/Distretto%201/lista_presidi;Confermata su fonte ASL corrente;Posti documentati: 14. 
