id_modulo;denominazione;modulo;verifica_web_v7_3_data;esito_verifica_v7_3;azione_v7_3;fonti_v7_3;stato_v7_3;sezione_canonica_v7_3
MOD-001;Villa Armonia Nuova;STPIT;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;STPIT
MOD-002;Villa Armonia Nuova;SRTRi;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
MOD-003;Villa Armonia Nuova;SRTRe;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
MOD-004;Villa Armonia Nuova;SRTRi adolescenti;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
MOD-005;Villa Armonia Nuova;SRSR H24;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
MOD-006;Villa Giuseppina;SRTRi;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
MOD-007;Villa Giuseppina;SRTRe;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
MOD-008;Villa Giuseppina;SRSR H24;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
MOD-009;Villa Giuseppina;Centro diurno;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;https://www.aslroma3.it/amministrazione-trasparente/strutture-sanitarie-private-accreditate/;Centro diurno: specifico rapporto SSN 2026 non comprovato;Da verificare 2026
MOD-010;Villa Letizia;SRTRe;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
MOD-011;Villa Letizia;SRSR H12;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
MOD-012;Villa Madre Chiara Ricci;SRTRe adolescenti;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
MOD-013;Casa Siloè;Centro diurno adolescenti;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
MOD-014;Villa Von Siebenthal;STPIT;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;STPIT
MOD-015;Villa Von Siebenthal;SRSR H24;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
MOD-016;Villa Von Siebenthal;SRTRe adulti;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
MOD-017;Villa Von Siebenthal;SRTRi adolescenti;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
MOD-018;Villa Von Siebenthal;SRTRe adolescenti;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
MOD-019;Villa Maria Pia;STPIT;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;STPIT
MOD-020;Villa Maria Pia;SRSR H24;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
MOD-021;Villa Maria Pia;SRSR H12;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
MOD-022;Colle Cesarano;STPIT;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;STPIT
MOD-023;Colle Cesarano;SRTRi B2;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
MOD-024;Colle Cesarano;SRTRe Agorà;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
