# V7.11 source reconnaissance — candidates only
No automatic pin or operational-data update.

rete:R1-01 | DSM Roma 1 — riferimento organizzativo | Roma | ND — non documentato nelle fonti consultate | HTTP_OK 1 | MANUAL_RESEARCH_REQUIRED
rete:R1-08 | CSM Boccea | Roma | Via di Boccea, 271 | HTTP_OK 1 | MANUAL_RESEARCH_REQUIRED
rete:R1-09 | CSM Innocenzo IV | Roma | Via Innocenzo IV, 16/B | HTTP_OK 1 | MANUAL_RESEARCH_REQUIRED
rete:R1-15 | SerD Nomentana | Roma | Via Nomentana, 2/B | HTTP_OK 1 | MANUAL_RESEARCH_REQUIRED
rete:R1-19 | Polo Integrato Salute Mentale Cassia | Roma | Via Cassia, 472 | HTTP_OK 1 | MANUAL_RESEARCH_REQUIRED
rete:R2-10 | SerD Distretto 4 — ospitato altrove | Roma | ND — non documentato nelle fonti consultate | HTTP_OK 0 | MANUAL_RESEARCH_REQUIRED
rete:R3-05 | CSM Municipio XI — Portuense | Roma | Via Portuense, 571 | HTTP_OK 1 | 41.8554176,12.4451558 https://www.aslroma3.it/dipartimenti/dipartimento-di-salute-mentale/uoc-salute-mentale-distretto-sanitario-municipio-xi/; 41.8619841,12.4552434 https://www.aslroma3.it/dipartimenti/dipartimento-di-salute-mentale/uoc-salute-mentale-distretto-sanitario-municipio-xi/; 41.850745,12.412992 https://www.aslroma3.it/dipartimenti/dipartimento-di-salute-mentale/uoc-salute-mentale-distretto-sanitario-municipio-xi/
rete:R4-02 | CSM Distretto 1 — Civitavecchia | Civitavecchia | Via delle Azalee, traversa Viale G. Bianconi, Civitavecchia | HTTP_OK 1 | 42.07576099414168,11.813756488150585 https://www.aslroma4.it/strutture-sanitarie/strutture-di-salute-mentale
rete:R4-05 | CSM Distretto 4 — Morlupo | Morlupo | Via Roncacci 78, Morlupo | HTTP_OK 1 | 42.07576099414168,11.813756488150585 https://www.aslroma4.it/strutture-sanitarie/strutture-di-salute-mentale
rete:R4-08 | SerD Capena | Capena | Via Tiberina, km 15.500 | HTTP_OK 1 | MANUAL_RESEARCH_REQUIRED
rete:R5-10 | SerD Colleferro | Colleferro | Largo Oberdan, snc | HTTP_OK 2 | MANUAL_RESEARCH_REQUIRED
